movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
Gone with the Wind,1939,8.1,293585,198676459,/title/tt0031381/,Drama,History,Romance            ,Victor Fleming,Thomas Mitchell,Barbara ONeil,Vivien Leigh,Evelyn Keyes,Ann Rutherford,George Reeves
The Ten Commandments,1956,7.9,65368,93740000,/title/tt0049833/,Adventure,Drama            ,,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,Yvonne De Carlo,Debra Paget
Ben-Hur,1959,8.1,222246,74700000,/title/tt0052618/,Adventure,Drama,History            ,William Wyler,Charlton Heston,Jack Hawkins,Haya Harareet,Stephen Boyd,Hugh Griffith,Martha Scott
The Bridge on the River Kwai,1957,8.1,206022,44908000,/title/tt0050212/,Adventure,Drama,War            ,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,James Donald,Geoffrey Horne
Around the World in 80 Days,1956,6.8,25158,42000000,/title/tt0048960/,Adventure,Comedy,Family            ,Michael Anderson,Cantinflas,Finlay Currie,Robert Morley,Ronald Squire,Basil Sydney,Noël Coward
Swiss Family Robinson,1960,7.2,14545,40356000,/title/tt0054357/,Adventure,Family            ,,Ken Annakin,John Mills,Dorothy McGuire,James MacArthur,Janet Munro,Sessue Hayakawa,Tommy Kirk
Rear Window,1954,8.4,450099,36764313,/title/tt0047396/,Mystery,Thriller            ,,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn
The Robe,1953,6.8,9492,36000000,/title/tt0046247/,Drama,History            ,,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Michael Rennie,Jay Robinson,Dean Jagger
The Greatest Show on Earth,1952,6.6,13232,36000000,/title/tt0044672/,Drama,Family,Romance            ,Cecil B. DeMille,Betty Hutton,Cornel Wilde,Charlton Heston,Dorothy Lamour,Gloria Grahame,Henry Wilcoxon
Mom and Dad,1945,5.1,144,34880000,/title/tt0040603/,Drama            ,,,William Beaudine,June Carlson,Lois Austin,George Eldredge,Jimmy Clark,Hardie Albright,Bob Lowell
Psycho,1960,8.5,613001,32000000,/title/tt0054215/,Horror,Mystery,Thriller            ,Alfred Hitchcock,Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire
From Here to Eternity,1953,7.6,43914,30500000,/title/tt0045793/,Drama,Romance,War            ,Fred Zinnemann,Burt Lancaster,Montgomery Clift,Deborah Kerr,Donna Reed,Frank Sinatra,Philip Ober
Spartacus,1960,7.9,125622,30000000,/title/tt0054331/,Adventure,Biography,Drama            ,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,Peter Ustinov,John Gavin
White Christmas,1954,7.6,34679,30000000,/title/tt0047673/,Comedy,Musical,Romance            ,Michael Curtiz,Bing Crosby,Danny Kaye,Rosemary Clooney,Vera-Ellen,Dean Jagger,Mary Wickes
Samson and Delilah,1949,6.8,7199,28800000,/title/tt0041838/,Drama,History,Romance            ,Cecil B. DeMille,Hedy Lamarr,Victor Mature,George Sanders,Angela Lansbury,Henry Wilcoxon,Olive Deering
"20,000 Leagues Under the Sea",1954,7.2,29926,28200000,/title/tt0046672/,Adventure,Drama,Family            ,Richard Fleischer,Kirk Douglas,James Mason,Paul Lukas,Peter Lorre,Robert J. Wilke,Ted de Corsia
Sayonara,1957,7.1,6186,26300000,/title/tt0050933/,Drama,Romance            ,,Joshua Logan,Marlon Brando,Patricia Owens,James Garner,Martha Scott,Miiko Taka,Miyoshi Umeki
Demetrius and the Gladiators,1954,6.6,3451,26000000,/title/tt0046899/,Action,Drama,History            ,Delmer Daves,Victor Mature,Susan Hayward,Michael Rennie,Debra Paget,Anne Bancroft,Jay Robinson
Peyton Place,1957,7.2,5440,25600000,/title/tt0050839/,Drama,Romance            ,,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,Arthur Kennedy,Russ Tamblyn,Terry Moore
Some Like It Hot,1959,8.2,247150,25000000,/title/tt0053291/,Comedy,Music,Romance            ,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,Pat OBrien,Joe E. Brown
Quo Vadis,1951,7.2,13885,24291740,/title/tt0043949/,Biography,Drama,History            ,Mervyn LeRoy,Robert Taylor,Deborah Kerr,Leo Genn,Peter Ustinov,Patricia Laffan,Finlay Currie
House of Wax,1953,7.1,16452,23750000,/title/tt0045888/,Horror            ,,,André De Toth,Vincent Price,Frank Lovejoy,Phyllis Kirk,Carolyn Jones,Paul Picerni,Roy Roberts
The Best Years of Our Lives,1946,8,57924,23650000,/title/tt0036868/,Drama,Romance,War            ,William Wyler,Myrna Loy,Fredric March,Dana Andrews,Teresa Wright,Virginia Mayo,Cathy ODonnell
Operation Petticoat,1959,7.3,13070,23300000,/title/tt0053143/,Comedy,Romance,War            ,Blake Edwards,Cary Grant,Tony Curtis,Joan OBrien,Dina Merrill,Gene Evans,Dick Sargent
Auntie Mame,1958,7.9,10480,23300000,/title/tt0051383/,Comedy,Drama,Romance            ,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,Fred Clark,Roger Smith,Patric Knowles
Old Yeller,1957,7.3,12113,21909000,/title/tt0050798/,Adventure,Drama,Family            ,Robert Stevenson,Dorothy McGuire,Fess Parker,Jeff York,Chuck Connors,Beverly Washburn,Tommy Kirk
The Caine Mutiny,1954,7.7,24653,21750000,/title/tt0046816/,Drama,War            ,,Edward Dmytryk,Humphrey Bogart,José Ferrer,Van Johnson,Fred MacMurray,Robert Francis,May Wynn
The King and I,1956,7.4,23988,21300000,/title/tt0049408/,Biography,Drama,Musical            ,Walter Lang,Deborah Kerr,Yul Brynner,Rita Moreno,Martin Benson,Terry Saunders,Rex Thompson
The Bells of St. Mary's,1945,7.3,7280,21300000,/title/tt0037536/,Drama            ,,,Leo McCarey,Bing Crosby,Ingrid Bergman,Henry Travers,William Gargan,Ruth Donnelly,Joan Carroll
Mister Roberts,1955,7.7,15552,21200000,/title/tt0048380/,Comedy,Drama,War            ,John Ford,Henry Fonda,James Cagney,William Powell,Jack Lemmon,Betsy Palmer,Ward Bond
This Is the Army,1943,5.8,997,20831178,/title/tt0036430/,Comedy,Musical,War            ,Michael Curtiz,George Murphy,Joan Leslie,George Tobias,Alan Hale,Charles Butterworth,Dolores Costello
Duel in the Sun,1946,6.8,8081,20408163,/title/tt0038499/,Drama,Romance,Western            ,King Vidor,Jennifer Jones,Joseph Cotten,Gregory Peck,Lionel Barrymore,Herbert Marshall,Lillian Gish
Shane,1953,7.6,37530,20000000,/title/tt0046303/,Drama,Western            ,,George Stevens,Alan Ladd,Jean Arthur,Van Heflin,Brandon De Wilde,Jack Palance,Ben Johnson
La dolce vita,1960,8,67614,19516000,/title/tt0053779/,Comedy,Drama            ,,Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,Magali Noël,Alain Cuny
Exodus,1960,6.7,8953,18966000,/title/tt0053804/,Action,Drama,History            ,Otto Preminger,Paul Newman,Eva Marie Saint,Ralph Richardson,Peter Lawford,Lee J. Cobb,Sal Mineo
Pillow Talk,1959,7.4,15903,18750000,/title/tt0053172/,Comedy,Romance            ,,Michael Gordon,Rock Hudson,Doris Day,Tony Randall,Thelma Ritter,Nick Adams,Julia Meade
The Apartment,1960,8.3,166984,18600000,/title/tt0053604/,Comedy,Drama,Romance            ,Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Jack Kruschen,David Lewis
The Snows of Kilimanjaro,1952,6.2,4768,18050000,/title/tt0045162/,Adventure,Drama,Romance            ,Henry King,Gregory Peck,Susan Hayward,Ava Gardner,Hildegard Knef,Leo G. Carroll,Torin Thatcher
For Whom the Bell Tolls,1943,6.9,8510,17800000,/title/tt0035896/,Adventure,Drama,History            ,Sam Wood,Gary Cooper,Ingrid Bergman,Akim Tamiroff,Arturo de Córdova,Vladimir Sokoloff,Mikhail Rasumny
Cat on a Hot Tin Roof,1958,8,45823,17570324,/title/tt0051459/,Drama            ,,,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson,Judith Anderson,Madeleine Sherwood
The Curse of Frankenstein,1957,7.1,9820,17440000,/title/tt0050280/,Horror,Sci-Fi,Thriller            ,Terence Fisher,Peter Cushing,Hazel Court,Robert Urquhart,Christopher Lee,Melvyn Hayes,Valerie Gaunt
Battle Cry,1955,6.5,2102,17440000,/title/tt0047860/,Drama,Romance,War            ,Raoul Walsh,Van Heflin,Aldo Ray,Mona Freeman,Nancy Olson,James Whitmore,Raymond Massey
The Alamo,1960,6.9,14602,17262932,/title/tt0053580/,Adventure,Drama,History            ,John Wayne,John Wayne,Richard Widmark,Laurence Harvey,Frankie Avalon,Patrick Wayne,Linda Cristal
BUtterfield 8,1960,6.4,5912,16462599,/title/tt0053622/,Drama,Romance            ,,Daniel Mann,Elizabeth Taylor,Laurence Harvey,Eddie Fisher,Dina Merrill,Mildred Dunnock,Betty Field
Sergeant York,1941,7.7,15558,16400000,/title/tt0034167/,Biography,Drama,History            ,Howard Hawks,Gary Cooper,Walter Brennan,Joan Leslie,George Tobias,Stanley Ridges,Margaret Wycherly
Going My Way,1944,7,10731,16300000,/title/tt0036872/,Comedy,Drama,Music            ,Leo McCarey,Bing Crosby,Barry Fitzgerald,Frank McHugh,James Brown,Gene Lockhart,Jean Heather
Forever Amber,1947,6.6,1251,16000000,/title/tt0039391/,Adventure,Drama,Romance            ,Otto Preminger,Linda Darnell,Cornel Wilde,Richard Greene,George Sanders,Glenn Langan,Richard Haydn
A Star Is Born,1954,7.6,16223,14933000,/title/tt0047522/,Drama,Musical,Romance            ,George Cukor,Judy Garland,James Mason,Jack Carson,Charles Bickford,Tommy Noonan,Lucy Marlow
Imitation of Life,1959,7.9,14987,13990819,/title/tt0052918/,Drama            ,,,Douglas Sirk,Lana Turner,John Gavin,Sandra Dee,Susan Kohner,Robert Alda,Dan OHerlihy
"Suddenly, Last Summer",1959,7.6,14041,13897500,/title/tt0053318/,Drama,Mystery,Thriller            ,Joseph L. Mankiewicz,Elizabeth Taylor,Katharine Hepburn,Montgomery Clift,Albert Dekker,Mercedes McCambridge,Gary Raymond
Mrs. Miniver,1942,7.6,16183,13500000,/title/tt0035093/,Drama,Romance,War            ,William Wyler,Greer Garson,Walter Pidgeon,Teresa Wright,May Whitty,Reginald Owen,Henry Travers
North by Northwest,1959,8.3,302876,13275000,/title/tt0053125/,Adventure,Mystery,Thriller            ,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Leo G. Carroll,Josephine Hutchinson
High Society,1956,7,14394,13000000,/title/tt0049314/,Comedy,Musical,Romance            ,Charles Walters,Bing Crosby,Grace Kelly,Frank Sinatra,Celeste Holm,John Lund,Louis Calhern
Guys and Dolls,1955,7.1,15990,13000000,/title/tt0048140/,Comedy,Crime,Musical            ,Joseph L. Mankiewicz,Marlon Brando,Jean Simmons,Frank Sinatra,Vivian Blaine,Robert Keith,Stubby Kaye
The Nun's Story,1959,7.6,9566,12800000,/title/tt0053131/,Drama            ,,,Fred Zinnemann,Audrey Hepburn,Peter Finch,Edith Evans,Peggy Ashcroft,Dean Jagger,Mildred Dunnock
Rio Bravo,1959,8,57063,12535000,/title/tt0053221/,Action,Drama,Western            ,Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,Walter Brennan,Ward Bond
War and Peace,1956,6.8,9250,12500000,/title/tt0049934/,Drama,Romance,War            ,King Vidor,Audrey Hepburn,Henry Fonda,Mel Ferrer,Vittorio Gassman,Herbert Lom,Oskar Homolka
Ocean's Eleven,1960,6.6,20228,12317000,/title/tt0054135/,Comedy,Crime,Music            ,Lewis Milestone,Frank Sinatra,Dean Martin,Sammy Davis Jr.,Peter Lawford,Angie Dickinson,Richard Conte
Solomon and Sheba,1959,6.2,2944,12200000,/title/tt0053290/,Drama,History,Romance            ,King Vidor,Yul Brynner,Gina Lollobrigida,George Sanders,Marisa Pavan,David Farrar,John Crawford
Tall Story,1960,6,813,12000000,/title/tt0054367/,Comedy,Sport            ,,Joshua Logan,Anthony Perkins,Jane Fonda,Ray Walston,Marc Connelly,Anne Jackson,Murray Hamilton
The Tall Men,1955,6.7,2262,12000000,/title/tt0048691/,Western            ,,,Raoul Walsh,Clark Gable,Jane Russell,Robert Ryan,Cameron Mitchell,Juan García,Harry Shannon
The Seven Year Itch,1955,7.1,34561,12000000,/title/tt0048605/,Comedy,Romance            ,,Billy Wilder,Marilyn Monroe,Tom Ewell,Evelyn Keyes,Sonny Tufts,Robert Strauss,Oskar Homolka
Gentlemen Prefer Blondes,1953,7.2,32293,12000000,/title/tt0045810/,Comedy,Musical,Romance            ,Howard Hawks,Jane Russell,Marilyn Monroe,Charles Coburn,Elliott Reid,Tommy Noonan,George Winslow
Anatomy of a Murder,1959,8,60646,11900000,/title/tt0052561/,Crime,Drama,Mystery            ,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur OConnell,Eve Arden,Kathryn Grant
Moulin Rouge,1952,7.1,5077,11810000,/title/tt0044926/,Biography,Drama,Music            ,John Huston,José Ferrer,Zsa Zsa Gabor,Suzanne Flon,Claude Nollier,Katherine Kath,Muriel Smith
Yankee Doodle Dandy,1942,7.7,14264,11800000,/title/tt0035575/,Biography,Drama,Music            ,Michael Curtiz,James Cagney,Joan Leslie,Walter Huston,Richard Whorf,Irene Manning,George Tobias
Gunfight at the O.K. Corral,1957,7.2,14358,11750000,/title/tt0050468/,Biography,Drama,Western            ,John Sturges,Burt Lancaster,Kirk Douglas,Rhonda Fleming,Jo Van Fleet,John Ireland,Lyle Bettger
From the Terrace,1960,6.7,2473,11336000,/title/tt0053841/,Drama,Romance            ,,Mark Robson,Paul Newman,Joanne Woodward,Myrna Loy,Ina Balin,Leon Ames,Elizabeth Allen
Elmer Gantry,1960,7.8,10585,11336000,/title/tt0053793/,Drama            ,,,Richard Brooks,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Shirley Jones,Patti Page
Please Don't Eat the Daisies,1960,6.5,4142,11100000,/title/tt0054188/,Comedy,Family,Romance            ,Charles Walters,Doris Day,David Niven,Janis Paige,Spring Byington,Richard Haydn,Patsy Kelly
On the Beach,1959,7.2,12101,11000000,/title/tt0053137/,Drama,Romance,Sci-Fi            ,Stanley Kramer,Gregory Peck,Ava Gardner,Fred Astaire,Anthony Perkins,Donna Anderson,John Tate
A Hole in the Head,1959,6.3,2330,11000000,/title/tt0052896/,Comedy,Drama            ,,Frank Capra,Frank Sinatra,Edward G. Robinson,Eleanor Parker,Carolyn Jones,Thelma Ritter,Keenan Wynn
A Farewell to Arms,1957,5.9,2432,11000000,/title/tt0050379/,Drama,Romance,War            ,Charles Vidor,Rock Hudson,Jennifer Jones,Vittorio De Sica,Oskar Homolka,Mercedes McCambridge,Elaine Stritch
Tom Sawyer,1930,6.4,165,11000000,/title/tt0021483/,Adventure,Comedy,Drama            ,John Cromwell,Jackie Coogan,Junior Durkin,Mitzi Green,Lucien Littlefield,Tully Marshall,Clara Blandick
Le fatiche di Ercole,1958,5.4,1840,10900000,/title/tt0050381/,Adventure,Fantasy            ,,Pietro Francisci,Steve Reeves,Sylva Koscina,Fabrizio Mioni,Ivo Garrani,Gianna Maria Canale,Arturo Dominici
The Red Shoes,1948,8.1,31526,10900000,/title/tt0040725/,Drama,Music,Romance            ,Michael Powell,Anton Walbrook,Marius Goring,Moira Shearer,Robert Helpmann,Albert Bassermann,Léonide Massine
The Man in the Gray Flannel Suit,1956,7.1,3300,10875000,/title/tt0049474/,Drama,Romance,War            ,Nunnally Johnson,Gregory Peck,Jennifer Jones,Fredric March,Marisa Pavan,Lee J. Cobb,Ann Harding
The Quiet Man,1952,7.7,35485,10550000,/title/tt0045061/,Comedy,Drama,Romance            ,John Ford,John Wayne,Maureen OHara,Barry Fitzgerald,Ward Bond,Victor McLaglen,Mildred Natwick
Notorious,1946,7.9,93260,10464000,/title/tt0038787/,Drama,Film-Noir,Romance            ,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,Leopoldine Konstantin,Reinhold Schünzel
Moby Dick,1956,7.3,17213,10400000,/title/tt0049513/,Adventure,Drama            ,,John Huston,Gregory Peck,Richard Basehart,Leo Genn,James Robertson Justice,Harry Andrews,Bernard Miles
Battleground,1949,7.4,6626,10293960,/title/tt0041163/,Action,Drama,History            ,William A. Wellman,Van Johnson,John Hodiak,Ricardo Montalban,George Murphy,Marshall Thompson,Jerome Courtland
The Man Who Knew Too Much,1956,7.4,59471,10250000,/title/tt0049470/,Drama,Thriller            ,,Alfred Hitchcock,James Stewart,Doris Day,Brenda de Banzie,Bernard Miles,Ralph Truman,Daniel Gélin
Random Harvest,1942,8,7037,10137000,/title/tt0035238/,Adventure,Drama,Family            ,Mervyn LeRoy,Ronald Colman,Greer Garson,Philip Dorn,Susan Peters,Henry Travers,Reginald Owen
Journey to the Center of the Earth,1959,7,16022,10000000,/title/tt0052948/,Adventure,Family,Fantasy            ,Henry Levin,Pat Boone,James Mason,Arlene Dahl,Diane Baker,Thayer David,Peter Ronson
The Snake Pit,1948,7.6,6969,10000000,/title/tt0040806/,Drama,Mystery            ,,Anatole Litvak,Olivia de Havilland,Mark Stevens,Leo Genn,Celeste Holm,Glenn Langan,Helen Craig
King Kong,1933,7.9,80258,10000000,/title/tt0024216/,Adventure,Horror,Sci-Fi            ,Merian C. Cooper,Fay Wray,Robert Armstrong,Bruce Cabot,Frank Reicher,Sam Hardy,Noble Johnson
The Young Lions,1958,7.2,7425,9960000,/title/tt0052415/,Action,Drama,War            ,Edward Dmytryk,Marlon Brando,Montgomery Clift,Dean Martin,Hope Lange,Barbara Rush,May Britt
Pepe,1960,5.6,895,9600000,/title/tt0054172/,Comedy,Musical            ,,George Sidney,Cantinflas,Dan Dailey,Shirley Jones,Carlos Montalbán,Vicki Trickett,Matt Mattox
On the Waterfront,1954,8.1,144020,9600000,/title/tt0047296/,Crime,Drama,Thriller            ,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,Pat Henning,Leif Erickson
Mr. Smith Goes to Washington,1939,8.1,108250,9600000,/title/tt0031679/,Comedy,Drama            ,,Frank Capra,Jean Arthur,James Stewart,Claude Rains,Edward Arnold,Guy Kibbee,Thomas Mitchell
Week-End at the Waldorf,1945,6.6,1095,9513520,/title/tt0038239/,Comedy,Drama,Musical            ,Robert Z. Leonard,Ginger Rogers,Lana Turner,Walter Pidgeon,Van Johnson,Edward Arnold,Keenan Wynn
The Lost Weekend,1945,7.9,34001,9460000,/title/tt0037884/,Drama,Film-Noir            ,,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,Doris Dowling,Frank Faylen
High Noon,1952,7.9,98346,9450000,/title/tt0044706/,Drama,Thriller,Western            ,Fred Zinnemann,Gary Cooper,Thomas Mitchell,Lloyd Bridges,Katy Jurado,Grace Kelly,Otto Kruger
Seven Brides for Seven Brothers,1954,7.4,21609,9403000,/title/tt0047472/,Comedy,Drama,Musical            ,Stanley Donen,Howard Keel,Jeff Richards,Russ Tamblyn,Tommy Rall,Marc Platt,Matt Mattox
G.I. Blues,1960,6.3,3337,9374000,/title/tt0053848/,Comedy,Musical            ,,Norman Taurog,Elvis Presley,Juliet Prowse,Robert Ivers,James Douglas,Letícia Román,Sigrid Maier
Artists and Models,1955,6.6,3635,9350000,/title/tt0047840/,Comedy,Musical,Romance            ,Frank Tashlin,Dean Martin,Jerry Lewis,Shirley MacLaine,Dorothy Malone,Eddie Mayehoff,Eva Gabor
Boom Town,1940,7.1,3142,9172000,/title/tt0032273/,Adventure,Drama,Romance            ,Jack Conway,Clark Gable,Spencer Tracy,Claudette Colbert,Hedy Lamarr,Frank Morgan,Lionel Atwill
Easter Parade,1948,7.4,8932,9033920,/title/tt0040308/,Musical,Romance            ,,Charles Walters,Judy Garland,Fred Astaire,Peter Lawford,Ann Miller,Jules Munshin,Clinton Sundberg
Singin' in the Rain,1952,8.3,222187,8819028,/title/tt0045152/,Comedy,Musical,Romance            ,Stanley Donen,Gene Kelly,Donald OConnor,Debbie Reynolds,Jean Hagen,Millard Mitchell,Cyd Charisse
The Pride and the Passion,1957,5.8,2551,8750000,/title/tt0050858/,Action,Adventure,Drama            ,Stanley Kramer,Cary Grant,Frank Sinatra,Sophia Loren,Theodore Bikel,John Wengraf,Jay Novello
To Catch a Thief,1955,7.4,66487,8750000,/title/tt0048728/,Mystery,Romance,Thriller            ,Alfred Hitchcock,Cary Grant,Grace Kelly,Jessie Royce Landis,John Williams,Charles Vanel,Brigitte Auber
The Postman Always Rings Twice,1946,7.5,18968,8330000,/title/tt0038854/,Crime,Drama,Film-Noir            ,Tay Garnett,Lana Turner,John Garfield,Cecil Kellaway,Hume Cronyn,Leon Ames,Audrey Totter
Witness for the Prosecution,1957,8.4,111246,8175000,/title/tt0051201/,Crime,Drama,Mystery            ,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,John Williams,Henry Daniell
Holiday Inn,1942,7.4,13664,8175000,/title/tt0034862/,Comedy,Drama,Music            ,Mark Sandrich,Bing Crosby,Fred Astaire,Marjorie Reynolds,Virginia Dale,Walter Abel,Louise Beavers
Shanghai Express,1932,7.3,7938,8066000,/title/tt0023458/,Adventure,Drama,Romance            ,Josef von Sternberg,Marlene Dietrich,Clive Brook,Anna May Wong,Warner Oland,Eugene Pallette,Lawrence Grant
Island in the Sun,1957,6.1,1076,8000000,/title/tt0050549/,Drama,Romance            ,,Robert Rossen,James Mason,Joan Fontaine,Dorothy Dandridge,Joan Collins,Michael Rennie,Harry Belafonte
A Streetcar Named Desire,1951,8,100251,8000000,/title/tt0044081/,Drama            ,,,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,Rudy Bond,Nick Dennis
Annie Get Your Gun,1950,6.9,4426,8000000,/title/tt0042200/,Biography,Comedy,Musical            ,George Sidney,Betty Hutton,Howard Keel,Louis Calhern,J. Carrol Naish,Edward Arnold,Keenan Wynn
Ziegfeld Follies,1945,6.5,2921,7930000,/title/tt0039116/,Comedy,Musical            ,,Lemuel Ayers,Fred Astaire,Lucille Ball,Lucille Bremer,Fanny Brice,Judy Garland,Kathryn Grayson
Pardners,1956,6.3,1437,7920000,/title/tt0049593/,Action,Comedy,Music            ,Norman Taurog,Dean Martin,Jerry Lewis,Lori Nelson,Jeff Morrow,Jackie Loughery,John Baragrey
Strangers on a Train,1951,7.9,124406,7630000,/title/tt0044079/,Crime,Film-Noir,Thriller            ,Alfred Hitchcock,Farley Granger,Ruth Roman,Robert Walker,Leo G. Carroll,Patricia Hitchcock,Kasey Rogers
Cavalcade,1933,5.8,4697,7630000,/title/tt0023876/,Drama,Romance,War            ,Frank Lloyd,Diana Wynyard,Clive Brook,Una OConnor,Herbert Mundin,Beryl Mercer,Irene Browne
Meet Me in St. Louis,1944,7.5,21422,7566000,/title/tt0037059/,Comedy,Drama,Family            ,Vincente Minnelli,Judy Garland,Margaret OBrien,Mary Astor,Lucille Bremer,Leon Ames,Tom Drake
Little Women,1949,7.3,6769,7466500,/title/tt0041594/,Drama,Family,Romance            ,Mervyn LeRoy,June Allyson,Peter Lawford,Margaret OBrien,Elizabeth Taylor,Janet Leigh,Rossano Brazzi
Midnight Lace,1960,6.8,4823,7400000,/title/tt0054084/,Drama,Mystery,Thriller            ,David Miller,Doris Day,Rex Harrison,John Gavin,Myrna Loy,Roddy McDowall,Herbert Marshall
Separate Tables,1958,7.4,6875,7400000,/title/tt0052182/,Drama,Romance            ,,Delbert Mann,Deborah Kerr,Rita Hayworth,David Niven,Wendy Hiller,Burt Lancaster,Gladys Cooper
The World of Suzie Wong,1960,7.1,2247,7300000,/title/tt0054483/,Drama,Romance            ,,Richard Quine,William Holden,Nancy Kwan,Sylvia Syms,Michael Wilding,Jacqueline Chan,Laurence Naismith
The Men,1950,7.1,4241,7100000,/title/tt0042727/,Drama            ,,,Fred Zinnemann,Marlon Brando,Teresa Wright,Everett Sloane,Jack Webb,Richard Erdman,Arthur Jurado
The Vikings,1958,7.1,13215,7000000,/title/tt0052365/,Action,Adventure,History            ,Richard Fleischer,Kirk Douglas,Tony Curtis,Ernest Borgnine,Janet Leigh,James Donald,Alexander Knox
Golden Earrings,1947,6.7,1024,7000000,/title/tt0039428/,Adventure,Romance,War            ,Mitchell Leisen,Ray Milland,Marlene Dietrich,Murvyn Vye,Bruce Lester,Dennis Hoey,Quentin Reynolds
