movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
Spellbound,1945,7.6,44048,7000000,/title/tt0038109/,Film-Noir,Mystery,Romance            ,Alfred Hitchcock,Ingrid Bergman,Gregory Peck,Michael Chekhov,Leo G. Carroll,Rhonda Fleming,John Emery
The 7th Voyage of Sinbad,1958,7.1,12211,6976000,/title/tt0051337/,Action,Adventure,Family            ,Nathan Juran,Kerwin Mathews,Kathryn Grant,Richard Eyer,Torin Thatcher,Alec Mango,Danny Green
Helen of Troy,1956,6.2,2019,6976000,/title/tt0049301/,Adventure,Drama,History            ,Robert Wise,Rossana Podestà,Jacques Sernas,Cedric Hardwicke,Stanley Baker,Niall MacGinnis,Nora Swinburne
Till the Clouds Roll By,1946,6.4,2126,6724000,/title/tt0039035/,Biography,Musical            ,,Richard Whorf,June Allyson,Lucille Bremer,Judy Garland,Kathryn Grayson,Van Heflin,Lena Horne
Sink the Bismarck!,1960,7.1,6971,6540000,/title/tt0054310/,Action,Drama,History            ,Lewis Gilbert,Kenneth More,Dana Wynter,Carl Möhner,Laurence Naismith,Geoffrey Keen,Karel Stepanek
Let's Make Love,1960,6.5,6721,6540000,/title/tt0054022/,Comedy,Musical,Romance            ,George Cukor,Marilyn Monroe,Yves Montand,Tony Randall,Frankie Vaughan,Wilfrid Hyde-White,David Burns
The Big Sleep,1946,7.9,79463,6540000,/title/tt0038355/,Crime,Film-Noir,Mystery            ,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,Dorothy Malone,Peggy Knudsen
The Major and the Minor,1942,7.4,6349,6380000,/title/tt0035019/,Comedy,Romance            ,,Billy Wilder,Ginger Rogers,Ray Milland,Rita Johnson,Robert Benchley,Diana Lynn,Edward Fielding
Honky Tonk,1941,6.6,1003,6306740,/title/tt0033726/,Comedy,Crime,Drama            ,Jack Conway,Clark Gable,Lana Turner,Frank Morgan,Claire Trevor,Marjorie Main,Albert Dekker
In the Good Old Summertime,1949,7.2,3446,6304560,/title/tt0041507/,Comedy,Musical,Romance            ,Robert Z. Leonard,Judy Garland,Van Johnson,S.Z. Sakall,Spring Byington,Clinton Sundberg,Buster Keaton
My Friend Irma,1949,6.5,924,6160000,/title/tt0041673/,Comedy,Musical,Romance            ,George Marshall,John Lund,Diana Lynn,Don DeFore,Marie Wilson,Dean Martin,Jerry Lewis
The Opposite Sex,1956,6.1,1416,6016800,/title/tt0049578/,Comedy,Musical,Romance            ,David Miller,June Allyson,Joan Collins,Dolores Gray,Ann Sheridan,Ann Miller,Leslie Nielsen
The Grass Is Greener,1960,6.5,4657,6000000,/title/tt0053877/,Comedy,Drama,Romance            ,Stanley Donen,Cary Grant,Deborah Kerr,Robert Mitchum,Jean Simmons,Moray Watson,Joan Benham
Apache,1954,6.4,4058,6000000,/title/tt0046719/,Western            ,,,Robert Aldrich,Burt Lancaster,Jean Peters,John McIntire,Charles Bronson,John Dehner,Paul Guilfoyle
Double Indemnity,1944,8.3,145669,5720000,/title/tt0036775/,Crime,Drama,Film-Noir            ,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Porter Hall,Jean Heather,Tom Powers
Ercole e la regina di Lidia,1959,4.6,1919,5450000,/title/tt0052782/,Adventure,Fantasy            ,,Pietro Francisci,Steve Reeves,Sylva Koscina,Gabriele Antonini,Patrizia Della Rovere,Sergio Fantoni,Fulvia Franco
Down to Earth,1947,6.2,1220,5450000,/title/tt0039337/,Comedy,Fantasy,Musical            ,Alexander Hall,Rita Hayworth,Larry Parks,Marc Platt,Roland Culver,James Gleason,Edward Everett Horton
Saratoga,1937,6.5,1575,5301760,/title/tt0029516/,Drama,Comedy,Romance            ,Jack Conway,Clark Gable,Jean Harlow,Lionel Barrymore,Frank Morgan,Walter Pidgeon,Una Merkel
The Yearling,1946,7.2,5399,5200000,/title/tt0039111/,Drama,Family,Western            ,Clarence Brown,Gregory Peck,Jane Wyman,Claude Jarman Jr.,Chill Wills,Clem Bevans,Margaret Wycherly
The Diary of Anne Frank,1959,7.4,12054,5014000,/title/tt0052738/,Biography,Drama,Family            ,George Stevens,Millie Perkins,Joseph Schildkraut,Shelley Winters,Richard Beymer,Gusti Huber,Lou Jacobi
The Treasure of the Sierra Madre,1948,8.2,115776,5014000,/title/tt0040897/,Adventure,Drama,Western            ,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,Barton MacLane,Alfonso Bedoya
"The Beast from 20,000 Fathoms",1953,6.7,7099,5000000,/title/tt0045546/,Horror,Sci-Fi            ,,Eugène Lourié,Paul Hubschmid,Paula Raymond,Cecil Kellaway,Kenneth Tobey,Donald Woods,Lee Van Cleef
Destination Moon,1950,6.3,3744,5000000,/title/tt0042393/,Adventure,Drama,Sci-Fi            ,Irving Pichel,John Archer,Warner Anderson,Tom Powers,Dick Wesson,Erin OBrien-Moore,Steve Carruthers
The Magnificent Seven,1960,7.7,88648,4905000,/title/tt0054047/,Action,Adventure,Western            ,John Sturges,Yul Brynner,Eli Wallach,Steve McQueen,Horst Buchholz,Charles Bronson,Robert Vaughn
Titanic,1953,7,6342,4905000,/title/tt0046435/,Drama,History,Romance            ,Jean Negulesco,Clifton Webb,Barbara Stanwyck,Robert Wagner,Audrey Dalton,Thelma Ritter,Brian Aherne
Gold Diggers of 1933,1933,7.7,7437,4800360,/title/tt0024069/,Comedy,Drama,Musical            ,Mervyn LeRoy,Warren William,Joan Blondell,Aline MacMahon,Ruby Keeler,Dick Powell,Guy Kibbee
Bud Abbott Lou Costello Meet Frankenstein,1948,7.4,14969,4796000,/title/tt0040068/,Comedy,Fantasy,Horror            ,Charles Barton,Bud Abbott,Lou Costello,Lon Chaney Jr.,Bela Lugosi,Glenn Strange,Lenore Aubert
Cinderfella,1960,6.1,3186,4700000,/title/tt0053716/,Comedy,Family,Fantasy            ,Frank Tashlin,Jerry Lewis,Ed Wynn,Judith Anderson,Henry Silva,Robert Hutton,Count Basie
You Can't Take It with You,1938,7.9,23665,4659913,/title/tt0030993/,Comedy,Drama,Romance            ,Frank Capra,Jean Arthur,Lionel Barrymore,James Stewart,Edward Arnold,Mischa Auer,Ann Miller
The Story of Robin Hood and His Merrie Men,1952,6.7,1610,4578000,/title/tt0045197/,Action,Adventure,Family            ,Ken Annakin,Richard Todd,Joan Rice,Peter Finch,James Hayter,James Robertson Justice,Martita Hunt
Little Women,1933,7.2,6523,4578000,/title/tt0024264/,Drama,Family,Romance            ,George Cukor,Katharine Hepburn,Joan Bennett,Paul Lukas,Edna May Oliver,Jean Parker,Frances Dee
Love Me Tender,1956,6.3,3692,4500000,/title/tt0049452/,Drama,Musical,Romance            ,Robert D. Webb,Richard Egan,Debra Paget,Elvis Presley,Robert Middleton,William Campbell,Neville Brand
The Conqueror,1956,3.7,3141,4500000,/title/tt0049092/,Adventure,Biography,History            ,Dick Powell,John Wayne,Susan Hayward,Pedro Armendáriz,Agnes Moorehead,Thomas Gomez,John Hoyt
An American in Paris,1951,7.2,30944,4500000,/title/tt0043278/,Drama,Musical,Romance            ,Vincente Minnelli,Gene Kelly,Leslie Caron,Oscar Levant,Georges Guétary,Nina Foch,Robert Ames
Road to Rio,1947,7,3126,4500000,/title/tt0039776/,Adventure,Comedy,Musical            ,Norman Z. McLeod,Bing Crosby,Bob Hope,Dorothy Lamour,Gale Sondergaard,Frank Faylen,Joseph Vitale
Suspicion,1941,7.4,33428,4500000,/title/tt0034248/,Film-Noir,Mystery,Thriller            ,Alfred Hitchcock,Cary Grant,Joan Fontaine,Cedric Hardwicke,Nigel Bruce,May Whitty,Isabel Jeans
For Me and My Gal,1942,7.1,3145,4371000,/title/tt0034746/,Musical,Romance,War            ,Busby Berkeley,Judy Garland,George Murphy,Gene Kelly,Mártha Eggerth,Ben Blue,Stephen McNally
12 Angry Men,1957,9,702776,4360000,/title/tt0050083/,Crime,Drama            ,,Sidney Lumet,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman,Edward Binns
The War of the Worlds,1953,7.1,33032,4360000,/title/tt0046534/,Action,Sci-Fi,Thriller            ,Byron Haskin,Gene Barry,Ann Robinson,Les Tremayne,Robert Cornthwaite,Sandro Giglio,Lewis Martin
Laura,1944,8,43250,4360000,/title/tt0037008/,Drama,Film-Noir,Mystery            ,Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,Judith Anderson,Grant Mitchell
Rebecca,1940,8.1,125830,4360000,/title/tt0032976/,Drama,Mystery,Romance            ,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce,Reginald Denny
The Mark of Zorro,1940,7.5,9318,4360000,/title/tt0032762/,Action,Adventure,Romance            ,Rouben Mamoulian,Tyrone Power,Linda Darnell,Basil Rathbone,Gale Sondergaard,Eugene Pallette,J. Edward Bromberg
A Star Is Born,1937,7.3,8886,4360000,/title/tt0029606/,Drama,Romance            ,,William A. Wellman,Janet Gaynor,Fredric March,Adolphe Menjou,May Robson,Andy Devine,Lionel Stander
Bride of Frankenstein,1935,7.8,44011,4360000,/title/tt0026138/,Drama,Horror,Sci-Fi            ,James Whale,Boris Karloff,Colin Clive,Valerie Hobson,Ernest Thesiger,Elsa Lanchester,Gavin Gordon
It Happened One Night,1934,8.1,95545,4360000,/title/tt0025316/,Comedy,Romance            ,,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas,Alan Hale
Pinky,1949,7.2,2790,4200000,/title/tt0041746/,Drama            ,,,Elia Kazan,Jeanne Crain,Ethel Barrymore,Ethel Waters,William Lundigan,Basil Ruysdael,Kenny Washington
Pork Chop Hill,1959,7.1,4269,4024066,/title/tt0053183/,Action,Drama,War            ,Lewis Milestone,Gregory Peck,Harry Guardino,Rip Torn,George Peppard,Carl Benton Reid,James Edwards
Ingagi,1930,5.2,63,4000000,/title/tt0164686/,Action,Adventure,Fantasy            ,William Campbell,Sir Hubert Winstead,Arthur Clayton,Louis Nizor,Charles Gemora,Mel Koontz,
Jailhouse Rock,1957,6.6,7857,4000000,/title/tt0050556/,Drama,Music,Musical            ,Richard Thorpe,Elvis Presley,Judy Tyler,Mickey Shaughnessy,Vaughn Taylor,Jennifer Holden,Dean Jones
Rock Around the Clock,1956,6.2,1064,4000000,/title/tt0049682/,Comedy,Music,Romance            ,Fred F. Sears,Bill Haley and the Comets,Bill Haley,The Platters,Ernie Freeman Combo,Tony Martinez and His Band,Tony Martinez
Badman's Territory,1946,6.3,653,4000000,/title/tt0038321/,Adventure,Romance,Western            ,Tim Whelan,Randolph Scott,Ann Richards,George Gabby Hayes,Ray Collins,James Warren,Morgan Conway
Dillinger,1945,6.6,1721,4000000,/title/tt0037644/,Biography,Crime,Drama            ,Max Nosseck,Edmund Lowe,Anne Jeffreys,Eduardo Ciannelli,Lawrence Tierney,Marc Lawrence,Elisha Cook Jr.
Cat People,1942,7.3,20417,4000000,/title/tt0034587/,Fantasy,Horror,Thriller            ,Jacques Tourneur,Simone Simon,Kent Smith,Tom Conway,Jane Randolph,Jack Holt,Henrietta Burnside
Buck Privates,1941,7.1,4100,4000000,/title/tt0033436/,Comedy,Musical,War            ,Arthur Lubin,Bud Abbott,Lou Costello,Lee Bowman,Jane Frazee,Alan Curtis,Nat Pendleton
The Adventures of Robin Hood,1938,7.9,47662,3981000,/title/tt0029843/,Action,Adventure,Romance            ,Michael Curtiz,Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains,Patric Knowles,Eugene Pallette
Ace in the Hole,1951,8.1,32162,3969893,/title/tt0043338/,Drama,Film-Noir            ,,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,Frank Cady,Richard Benedict
Top Hat,1935,7.7,17681,3884760,/title/tt0027125/,Comedy,Musical,Romance            ,Mark Sandrich,Fred Astaire,Ginger Rogers,Edward Everett Horton,Erik Rhodes,Eric Blore,Helen Broderick
Ruby Gentry,1952,6.7,1417,3850000,/title/tt0045109/,Drama,Romance            ,,King Vidor,Jennifer Jones,Charlton Heston,Karl Malden,Tom Tully,Barney Phillips,James Anderson
Babes on Broadway,1941,6.7,1353,3850000,/title/tt0034485/,Comedy,Musical,Romance            ,Busby Berkeley,Mickey Rooney,Judy Garland,Fay Bainter,Virginia Weidler,Ray McDonald,Richard Quine
Jane Eyre,1943,7.5,8016,3815000,/title/tt0036969/,Drama,Romance            ,,Robert Stevenson,Orson Welles,Joan Fontaine,Margaret OBrien,Peggy Ann Garner,John Sutton,Sara Allgood
Girl Crazy,1943,6.8,1673,3770000,/title/tt0035942/,Comedy,Musical,Romance            ,Norman Taurog,Mickey Rooney,Judy Garland,Gil Stratton,Robert E. Strickland,Rags Ragland,June Allyson
Warlock,1959,7.2,5577,3706000,/title/tt0053434/,Drama,Western            ,,Edward Dmytryk,Richard Widmark,Henry Fonda,Anthony Quinn,Dorothy Malone,Dolores Michaels,Wallace Ford
Arabian Nights,1942,6.1,1285,3706000,/title/tt0034465/,Action,Adventure,Comedy            ,John Rawlins,Jon Hall,Maria Montez,Sabu,Leif Erickson,Billy Gilbert,Edgar Barrier
Night and the City,1950,7.9,12214,3600000,/title/tt0042788/,Crime,Film-Noir,Mystery            ,Jules Dassin,Richard Widmark,Gene Tierney,Googie Withers,Hugh Marlowe,Francis L. Sullivan,Herbert Lom
Casanova's Big Night,1954,6.8,942,3500000,/title/tt0046834/,Adventure,Comedy            ,,Norman Z. McLeod,Bob Hope,Joan Fontaine,Audrey Dalton,Basil Rathbone,Hugh Marlowe,Arnold Moss
Coney Island,1943,6.4,405,3500000,/title/tt0035749/,Comedy,Musical,Romance            ,Walter Lang,Betty Grable,George Montgomery,Cesar Romero,Charles Winninger,Phil Silvers,Matt Briggs
Phantom of the Opera,1943,6.4,6665,3488000,/title/tt0036261/,Drama,Horror,Music            ,Arthur Lubin,Nelson Eddy,Susanna Foster,Claude Rains,Edgar Barrier,Leo Carrillo,Jane Farrar
Foreign Correspondent,1940,7.5,18866,3484588,/title/tt0032484/,Action,Romance,Thriller            ,Alfred Hitchcock,Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley
Sweet Rosie O'Grady,1943,6.5,282,3400000,/title/tt0036406/,Musical            ,,,Irving Cummings,Betty Grable,Robert Young,Adolphe Menjou,Reginald Gardiner,Virginia Grey,Phil Regan
"Hello Frisco, Hello",1943,6.6,437,3400000,/title/tt0035982/,Comedy,Music,Musical            ,H. Bruce Humberstone,Alice Faye,John Payne,Jack Oakie,Lynn Bari,Laird Cregar,June Havoc
Bud Abbott and Lou Costello Meet the Invisible Man,1951,6.8,4979,3379000,/title/tt0043255/,Comedy,Sci-Fi,Sport            ,Charles Lamont,Bud Abbott,Lou Costello,Nancy Guild,Arthur Franz,Adele Jergens,Sheldon Leonard
Hitler's Children,1943,6.4,837,3355000,/title/tt0034856/,Drama,Romance            ,,Edward Dmytryk,Tim Holt,Bonita Granville,Kent Smith,Otto Kruger,H.B. Warner,Lloyd Corrigan
13 Ghosts,1960,6.1,5478,3270000,/title/tt0053559/,Horror,Mystery            ,,William Castle,Charles Herbert,Jo Morrow,Martin Milner,Rosemary DeCamp,Donald Woods,Margaret Hamilton
Nothing But Trouble,1944,6.6,1106,3270000,/title/tt0037138/,Comedy            ,,,Sam Taylor,Stan Laurel,Oliver Hardy,Mary Boland,Philip Merivale,Henry ONeill,David Leland
Tarzan Triumphs,1943,6.4,2028,3270000,/title/tt0036414/,Action,Adventure,War            ,Wilhelm Thiele,Johnny Weissmuller,Johnny Sheffield,Frances Gifford,Stanley Ridges,Sig Ruman,Philip Van Zandt
Flying Tigers,1942,6.8,3556,3270000,/title/tt0034742/,Action,Drama,Romance            ,David Miller,John Wayne,John Carroll,Anna Lee,Paul Kelly,Gordon Jones,Mae Clarke
The Hunchback of Notre Dame,1939,7.8,10527,3270000,/title/tt0031455/,Drama,Romance            ,,William Dieterle,Charles Laughton,Cedric Hardwicke,Thomas Mitchell,Maureen OHara,Edmond OBrien,Alan Marshal
All Quiet on the Western Front,1930,8,57792,3270000,/title/tt0020629/,Drama,War            ,,Lewis Milestone,Louis Wolheim,Lew Ayres,John Wray,Arnold Lucy,Ben Alexander,Scott Kolk
Tomorrow Is Forever,1946,7.3,2361,3250000,/title/tt0039041/,Drama,Romance,War            ,Irving Pichel,Claudette Colbert,Orson Welles,George Brent,Lucile Watson,Richard Long,Natalie Wood
Vertigo,1958,8.3,369785,3200000,/title/tt0052357/,Mystery,Romance,Thriller            ,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,Henry Jones,Raymond Bailey
House of Usher,1960,7,12254,3161000,/title/tt0053925/,Drama,Horror            ,,Roger Corman,Vincent Price,Mark Damon,Myrna Fahey,Harry Ellerbe,David Andar,Mario Bellini
The Blue Angel,1959,6.3,271,3052000,/title/tt0052638/,Drama            ,,,Edward Dmytryk,Curd Jürgens,May Britt,Theodore Bikel,John Banner,Fabrizio Mioni,Ludwig Stössel
Pygmalion,1938,7.7,8008,3052000,/title/tt0030637/,Comedy,Drama,Romance            ,Anthony Asquith,Leslie Howard,Wendy Hiller,Wilfrid Lawson,Marie Lohr,Scott Sunderland,Jean Cadell
Macumba Love,1960,5,63,3000000,/title/tt0054045/,Action,Adventure,Fantasy            ,Douglas Fowley,Walter Reed,Ziva Rodann,William Wellman Jr.,June Wilkinson,Ruth de Souza,Pedro Paulo Hatheyer
The Fly,1958,7.1,21072,3000000,/title/tt0051622/,Drama,Horror,Sci-Fi            ,Kurt Neumann,David Hedison,Patricia Owens,Vincent Price,Herbert Marshall,Kathleen Freeman,Betty Lou Gerson
Forbidden Planet,1956,7.6,45754,3000000,/title/tt0049223/,Action,Adventure,Sci-Fi            ,Fred M. Wilcox,Walter Pidgeon,Anne Francis,Leslie Nielsen,Warren Stevens,Jack Kelly,Richard Anderson
The World in His Arms,1952,6.9,1799,3000000,/title/tt0045339/,Action,Adventure,History            ,Raoul Walsh,Gregory Peck,Ann Blyth,Anthony Quinn,John McIntire,Carl Esmond,Andrea King
Without Reservations,1946,6.6,1523,3000000,/title/tt0039110/,Comedy,Romance            ,,Mervyn LeRoy,Claudette Colbert,John Wayne,Don DeFore,Anne Triola,Phil Brown,Frank Puglia
The Bandit of Sherwood Forest,1946,5.8,409,3000000,/title/tt0038326/,Action,Adventure,Family            ,Henry Levin,Cornel Wilde,Anita Louise,Jill Esmond,Edgar Buchanan,Henry Daniell,George Macready
Three Smart Girls,1936,6.6,1274,3000000,/title/tt0028373/,Comedy,Musical,Romance            ,Henry Koster,Binnie Barnes,Charles Winninger,Alice Brady,Ray Milland,Mischa Auer,Ernest Cossart
The Glass Slipper,1955,6.5,1306,2971340,/title/tt0048124/,Fantasy,Musical,Romance            ,Charles Walters,Leslie Caron,Michael Wilding,Keenan Wynn,Estelle Winwood,Elsa Lanchester,Barry Jones
The Pirate,1948,7,4463,2956000,/title/tt0040694/,Adventure,Comedy,Musical            ,Vincente Minnelli,Judy Garland,Gene Kelly,Walter Slezak,Gladys Cooper,Reginald Owen,George Zucco
I'm No Angel,1933,6.9,3135,2850000,/title/tt0024166/,Comedy,Music,Romance            ,Wesley Ruggles,Mae West,Cary Grant,Gregory Ratoff,Edward Arnold,Ralf Harolde,Kent Taylor
Jungle Book,1942,6.7,3874,2834000,/title/tt0034928/,Action,Adventure,Family            ,Zoltan Korda,Sabu,Joseph Calleia,John Qualen,Frank Puglia,Rosemary DeCamp,Patricia ORourke
Three Little Words,1950,7,1604,2800000,/title/tt0043044/,Biography,Comedy,Musical            ,Richard Thorpe,Fred Astaire,Red Skelton,Vera-Ellen,Arlene Dahl,Keenan Wynn,Gale Robbins
The Clock,1945,7.4,3052,2783000,/title/tt0037604/,Drama,Romance            ,,Vincente Minnelli,Judy Garland,Robert Walker,James Gleason,Keenan Wynn,Marshall Thompson,Lucile Gleason
The Shocking Miss Pilgrim,1947,6.5,388,2734000,/title/tt0039819/,Comedy,Musical,Romance            ,George Seaton,Betty Grable,Dick Haymes,Anne Revere,Allyn Joslyn,Gene Lockhart,Elizabeth Patterson
The Blue Dahlia,1946,7.2,7713,2700000,/title/tt0038369/,Crime,Film-Noir,Mystery            ,George Marshall,Alan Ladd,Veronica Lake,William Bendix,Howard Da Silva,Doris Dowling,Tom Powers
Call Me Mister,1951,5.8,205,2697000,/title/tt0043370/,Musical            ,,,Lloyd Bacon,Betty Grable,Dan Dailey,Danny Thomas,Dale Robertson,Benay Venuta,Richard Boone
Grand Hotel,1932,7.4,17616,2692300,/title/tt0022958/,Drama,Romance            ,,Edmund Goulding,Greta Garbo,John Barrymore,Joan Crawford,Wallace Beery,Lionel Barrymore,Lewis Stone
Miracle on 34th Street,1947,7.9,41932,2650000,/title/tt0039628/,Comedy,Drama,Family            ,George Seaton,Maureen OHara,John Payne,Edmund Gwenn,Gene Lockhart,Natalie Wood,Porter Hall
Meet Me After the Show,1951,6.2,160,2606000,/title/tt0043795/,Comedy,Music,Musical            ,Richard Sale,Betty Grable,Macdonald Carey,Rory Calhoun,Eddie Albert,Fred Clark,Lois Andrews
Fancy Pants,1950,6.6,1164,2600000,/title/tt0042447/,Comedy,Musical,Western            ,George Marshall,Bob Hope,Lucille Ball,Bruce Cabot,Jack Kirkwood,Lea Penman,Hugh French
The Yellow Cab Man,1950,6.5,474,2599000,/title/tt0043150/,Comedy,Drama,Romance            ,Jack Donohue,Red Skelton,Gloria DeHaven,Walter Slezak,Edward Arnold,James Gleason,Jay C. Flippen
Here Comes the Navy,1934,6.3,862,2578940,/title/tt0025238/,Comedy,Drama,Romance            ,Lloyd Bacon,James Cagney,Pat OBrien,Gloria Stuart,Frank McHugh,Dorothy Tree,Robert Barrat
Prince of Foxes,1949,7.1,1540,2550000,/title/tt0041767/,Adventure,Drama,History            ,Henry King,Tyrone Power,Orson Welles,Wanda Hendrix,Marina Berti,Everett Sloane,Katina Paxinou
A Night at the Opera,1935,7.9,30868,2537520,/title/tt0026778/,Comedy,Music,Musical            ,Sam Wood,Groucho Marx,Chico Marx,Harpo Marx,Kitty Carlisle,Allan Jones,Walter Woolf King
Treasure Island,1934,7.1,2487,2537520,/title/tt0025907/,Adventure,Family            ,,Victor Fleming,Wallace Beery,Jackie Cooper,Lionel Barrymore,Otto Kruger,Lewis Stone,Nigel Bruce
Last Train from Gun Hill,1959,7.4,6757,2500000,/title/tt0052993/,Drama,Romance,Western            ,John Sturges,Kirk Douglas,Anthony Quinn,Carolyn Jones,Earl Holliman,Brad Dexter,Brian G. Hutton
On the Riviera,1951,6.4,946,2500000,/title/tt0043882/,Comedy,Musical            ,,Walter Lang,Danny Kaye,Gene Tierney,Corinne Calvet,Marcel Dalio,Jean Murat,Henri Letondal
Two Guys from Milwaukee,1946,6.4,436,2500000,/title/tt0039053/,Comedy            ,,,David Butler,Dennis Morgan,Joan Leslie,Jack Carson,Janis Paige,S.Z. Sakall,Patti Brady
Gojira,1954,7.6,30392,2423423,/title/tt0047034/,Horror,Sci-Fi,Thriller            ,Ishirô Honda,Akira Takarada,Momoko Kôchi,Akihiko Hirata,Takashi Shimura,Fuyuki Murakami,Sachio Sakai
Les Miserables,1952,6.8,972,2398000,/title/tt0044907/,Adventure,Drama,History            ,Lewis Milestone,Michael Rennie,Debra Paget,Robert Newton,Edmund Gwenn,Sylvia Sidney,Cameron Mitchell
Peking Express,1951,5.7,74,2398000,/title/tt0043912/,Action,Drama,Film-Noir            ,William Dieterle,Joseph Cotten,Corinne Calvet,Edmund Gwenn,Marvin Miller,Benson Fong,Soo Yong
Roxie Hart,1942,6.9,1616,2398000,/title/tt0035272/,Comedy,Crime,Romance            ,William A. Wellman,Ginger Rogers,Adolphe Menjou,George Montgomery,Lynne Overman,Nigel Bruce,Phil Silvers
To the Shores of Tripoli,1942,6,748,2300000,/title/tt0035447/,Drama,Romance,War            ,H. Bruce Humberstone,John Payne,Maureen OHara,Randolph Scott,Nancy Kelly,William Tracy,Maxie Rosenbloom
42nd Street,1933,7.4,10933,2300000,/title/tt0024034/,Comedy,Drama,Musical            ,Lloyd Bacon,Warner Baxter,Bebe Daniels,George Brent,Ruby Keeler,Guy Kibbee,Una Merkel
Humoresque,1946,7.3,4028,2281000,/title/tt0038622/,Drama,Music,Romance            ,Jean Negulesco,Joan Crawford,John Garfield,Oscar Levant,J. Carrol Naish,Joan Chandler,Tom DAndrea
One Hundred Men and a Girl,1937,6.7,955,2270200,/title/tt0029347/,Comedy,Drama,Music            ,Henry Koster,Deanna Durbin,Leopold Stokowski,Adolphe Menjou,Alice Brady,Eugene Pallette,Mischa Auer
The Women,1939,7.8,12730,2270000,/title/tt0032143/,Comedy,Drama            ,,George Cukor,Norma Shearer,Joan Crawford,Rosalind Russell,Mary Boland,Paulette Goddard,Joan Fontaine
