movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
Tarzan Finds a Son!,1939,6.6,3153,2265020,/title/tt0032007/,Action,Adventure,Family            ,Richard Thorpe,Johnny Weissmuller,Maureen OSullivan,Johnny Sheffield,Ian Hunter,Henry Stephenson,Frieda Inescort
Flamingo Road,1949,7,2426,2263000,/title/tt0041373/,Drama,Film-Noir,Romance            ,Michael Curtiz,Joan Crawford,Zachary Scott,Sydney Greenstreet,David Brian,Gladys George,Virginia Huston
Touch of Evil,1958,8,99222,2237659,/title/tt0052311/,Crime,Drama,Film-Noir            ,Orson Welles,Charlton Heston,Janet Leigh,Orson Welles,Joseph Calleia,Akim Tamiroff,Joanna Moore
Vivere in pace,1947,7,175,2200000,/title/tt0039966/,Drama,War,Comedy            ,Luigi Zampa,Aldo Fabrizi,Gar Moore,Mirella Monti,John Kitzmiller,Heinrich Bode,Ave Ninchi
Tarzan's Greatest Adventure,1959,6.5,1187,2180000,/title/tt0053334/,Action,Adventure            ,,John Guillermin,Gordon Scott,Anthony Quayle,Sara Shane,Niall MacGinnis,Sean Connery,Al Mulock
The Miniver Story,1950,6.5,721,2158200,/title/tt0042735/,Drama            ,,,H.C. Potter,Greer Garson,Walter Pidgeon,John Hodiak,Leo Genn,Cathy ODonnell,Reginald Owen
The Maltese Falcon,1941,8,150241,2108060,/title/tt0033870/,Crime,Film-Noir,Mystery            ,John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre,Barton MacLane,Lee Patrick
King Richard and the Crusaders,1954,5.6,714,2100000,/title/tt0047150/,Adventure,History,Romance            ,David Butler,Rex Harrison,Virginia Mayo,George Sanders,Laurence Harvey,Robert Douglas,Michael Pate
The Wizard of Oz,1939,8,373641,2076020,/title/tt0032138/,Adventure,Family,Fantasy            ,Victor Fleming,Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr,Jack Haley,Billie Burke
Wabash Avenue,1950,6.1,270,2039000,/title/tt0043116/,Musical            ,,,Henry Koster,Betty Grable,Victor Mature,Phil Harris,Reginald Gardiner,James Barton,Barry Kelley
I Was a Teenage Werewolf,1957,5.2,2348,2000000,/title/tt0050530/,Drama,Fantasy,Horror            ,Gene Fowler Jr.,Michael Landon,Yvonne Lime,Whit Bissell,Charles Willcox,Dawn Richard,Barney Phillips
Et Dieu... créa la femme,1956,6.4,7718,2000000,/title/tt0049189/,Drama,Romance            ,,Roger Vadim,Brigitte Bardot,Curd Jürgens,Jean-Louis Trintignant,Jane Marken,Jean Tissier,Isabelle Corey
Killer McCoy,1947,6.5,389,2000000,/title/tt0039531/,Drama            ,,,Roy Rowland,Mickey Rooney,Brian Donlevy,Ann Blyth,James Dunn,Tom Tully,Sam Levene
Wilson,1944,6.4,1448,2000000,/title/tt0037465/,Biography,Drama,History            ,Henry King,Charles Coburn,Geraldine Fitzgerald,Thomas Mitchell,Ruth Nelson,Cedric Hardwicke,Vincent Price
Stella Dallas,1937,7.4,4864,2000000,/title/tt0029608/,Drama,Romance            ,,King Vidor,Barbara Stanwyck,John Boles,Anne Shirley,Barbara ONeil,Alan Hale,Marjorie Main
One in a Million,1936,6.2,261,2000000,/title/tt0028063/,Comedy,Music,Romance            ,Sidney Lanfield,Sonja Henie,Adolphe Menjou,Don Ameche,Ned Sparks,Jean Hersholt,The Ritz Brothers
She Done Him Wrong,1933,6.3,5621,2000000,/title/tt0024548/,Comedy,Drama,History            ,Lowell Sherman,Mae West,Cary Grant,Owen Moore,Gilbert Roland,Noah Beery,David Landau
Emma,1932,7,917,2000000,/title/tt0022854/,Drama            ,,,Clarence Brown,Marie Dressler,Richard Cromwell,Jean Hersholt,Myrna Loy,John Miljan,Purnell Pratt
Tarzan and the Lost Safari,1957,5.8,561,1994700,/title/tt0051057/,Action,Adventure            ,,H. Bruce Humberstone,Gordon Scott,Robert Beatty,Yolande Donlan,Betta St. John,Wilfrid Hyde-White,George Coulouris
Possessed,1947,7.2,4721,1987000,/title/tt0039725/,Crime,Drama,Film-Noir            ,Curtis Bernhardt,Joan Crawford,Van Heflin,Raymond Massey,Geraldine Brooks,Stanley Ridges,John Ridgely
Betrayed,1954,6.1,1102,1970000,/title/tt0046770/,Drama,History,Romance            ,Gottfried Reinhardt,Clark Gable,Lana Turner,Victor Mature,Louis Calhern,O.E. Hasse,Wilfrid Hyde-White
Flaming Star,1960,6.5,3079,1962000,/title/tt0053825/,Action,Drama,Romance            ,Don Siegel,Elvis Presley,Barbara Eden,Steve Forrest,Dolores del Rio,John McIntire,Rodolfo Acosta
Swiss Family Robinson,1940,6.4,510,1940200,/title/tt0033124/,Adventure            ,,,Edward Ludwig,Thomas Mitchell,Edna Best,Freddie Bartholomew,Terry Kilburn,Tim Holt,Bobbie Quillan
"Sleep, My Love",1948,6.8,1542,1800000,/title/tt0040798/,Drama,Film-Noir,Mystery            ,Douglas Sirk,Claudette Colbert,Robert Cummings,Don Ameche,Rita Johnson,George Coulouris,Queenie Smith
Damaged Lives,1933,4.4,158,1800000,/title/tt0028755/,Drama            ,,,Edgar G. Ulmer,Diane Sinclair,Lyman Williams,George Irving,Almeda Fowler,Jason Robards Sr.,Marceline Day
Count Your Blessings,1959,5.2,282,1765800,/title/tt0052706/,Comedy,Drama            ,,Jean Negulesco,Deborah Kerr,Rossano Brazzi,Maurice Chevalier,Martin Stephens,Tom Helmore,Ronald Squire
The Horse Soldiers,1959,7.2,9609,1753526,/title/tt0052902/,Adventure,Romance,War            ,John Ford,John Wayne,William Holden,Constance Towers,Judson Pratt,Hoot Gibson,Ken Curtis
The Red Beret,1953,5.9,605,1750000,/title/tt0046161/,Drama,War            ,,Terence Young,Alan Ladd,Leo Genn,Susan Stephen,Harry Andrews,Donald Houston,Anthony Bushell
Anna Lucasta,1949,6.6,106,1700000,/title/tt0041125/,Drama,Film-Noir            ,,Irving Rapper,Paulette Goddard,William Bishop,John Ireland,Oskar Homolka,Broderick Crawford,Will Geer
The Invisible Man's Revenge,1944,5.8,1929,1669226,/title/tt0036959/,Horror,Sci-Fi            ,,Ford Beebe,Jon Hall,Leon Errol,John Carradine,Alan Curtis,Evelyn Ankers,Gale Sondergaard
The Big Noise,1944,6.5,1136,1635000,/title/tt0036644/,Action,Adventure,Comedy            ,Malcolm St. Clair,Stan Laurel,Oliver Hardy,Doris Merrick,Arthur Space,Veda Ann Borg,Robert Blake
The Ox-Bow Incident,1942,8,21112,1635000,/title/tt0036244/,Drama,Western            ,,William A. Wellman,Henry Fonda,Dana Andrews,Mary Beth Hughes,Anthony Quinn,William Eythe,Harry Morgan
Road to Morocco,1942,7.1,5103,1626400,/title/tt0035262/,Adventure,Comedy,Family            ,David Butler,Bing Crosby,Bob Hope,Dorothy Lamour,Anthony Quinn,Dona Drake,Vladimir Sokoloff
Feet First,1930,6.7,980,1589000,/title/tt0020876/,Adventure,Comedy,Romance            ,Clyde Bruckman,Harold Lloyd,Barbara Kent,Robert McWade,Lillian Leighton,Henry Hall,Noah Young
Citizen Kane,1941,8.3,410345,1585634,/title/tt0033467/,Drama,Mystery            ,,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,Ruth Warrick,Ray Collins,Erskine Sanford
Parnell,1937,5.4,465,1576000,/title/tt0029377/,Biography,Drama,Romance            ,John M. Stahl,Clark Gable,Myrna Loy,Edna May Oliver,Edmund Gwenn,Alan Marshal,Donald Crisp
Tarzan's Fight for Life,1958,5.5,439,1569600,/title/tt0052275/,Action,Adventure            ,,H. Bruce Humberstone,Gordon Scott,Eve Brent,Rickie Sorensen,Jil Jarmyn,James Edwards,Carl Benton Reid
The Damned Don't Cry,1950,7.2,2588,1540000,/title/tt0042376/,Crime,Drama,Film-Noir            ,Vincent Sherman,Joan Crawford,David Brian,Steve Cochran,Kent Smith,Hugh Sanders,Selena Royle
Jungfrukällan,1960,8.1,27083,1526000,/title/tt0053976/,Drama            ,,,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,Axel Düberg,Tor Isedal
Land of the Pharaohs,1955,6.6,3693,1500000,/title/tt0048283/,Adventure,Drama,History            ,Howard Hawks,Jack Hawkins,Joan Collins,Dewey Martin,Alexis Minotis,James Robertson Justice,Luisella Boni
Sitting Bull,1954,5.7,631,1500000,/title/tt0047501/,Western            ,,,Sidney Salkow,Dale Robertson,Mary Murphy,J. Carrol Naish,John Litel,Joel Fluellen,Iron Eyes Cody
Men of the Fighting Lady,1954,6.3,527,1500000,/title/tt0047230/,Drama,War            ,,Andrew Marton,Van Johnson,Walter Pidgeon,Louis Calhern,Dewey Martin,Keenan Wynn,Frank Lovejoy
The Long Wait,1954,6.5,219,1500000,/title/tt0047190/,Adventure,Crime,Drama            ,Victor Saville,Anthony Quinn,Charles Coburn,Gene Evans,Peggie Castle,Mary Ellen Kay,Shirley Patterson
The Beautiful Blonde from Bashful Bend,1949,6.1,745,1489000,/title/tt0041165/,Comedy,Western            ,,Preston Sturges,Betty Grable,Cesar Romero,Rudy Vallee,Olga San Juan,Porter Hall,Hugh Herbert
The Gorgeous Hussy,1936,5.7,1007,1458000,/title/tt0027690/,Drama,History            ,,Clarence Brown,Joan Crawford,Robert Taylor,Lionel Barrymore,Franchot Tone,Melvyn Douglas,James Stewart
Phantom of the Rue Morgue,1954,5.9,821,1450000,/title/tt0047348/,Crime,Horror,Mystery            ,Roy Del Ruth,Karl Malden,Claude Dauphin,Patricia Medina,Steve Forrest,Allyn Ann McLerie,Anthony Caruso
Escape from Fort Bravo,1953,6.7,2471,1450000,/title/tt0045737/,Western            ,,,John Sturges,William Holden,Eleanor Parker,John Forsythe,William Demarest,William Campbell,Polly Bergen
Movie Crazy,1932,7.1,1409,1439000,/title/tt0023241/,Comedy,Family,Romance            ,Clyde Bruckman,Harold Lloyd,Constance Cummings,Kenneth Thomson,Louise Closser Hale,Spencer Charters,Robert McWade
"Tarzan, the Ape Man",1959,4,293,1438800,/title/tt0053335/,Action,Adventure,Romance            ,Joseph M. Newman,Denny Miller,Cesare Danova,Joanna Barnes,Robert Douglas,Leon Anderson,Thomas Yangha
That Lady in Ermine,1948,5.9,668,1414000,/title/tt0040869/,Comedy,Fantasy,Musical            ,Ernst Lubitsch,Betty Grable,Douglas Fairbanks Jr.,Cesar Romero,Walter Abel,Reginald Gardiner,Harry Davenport
The Little Shop of Horrors,1960,6.3,16594,1400000,/title/tt0054033/,Comedy,Horror            ,,Roger Corman,Jonathan Haze,Jackie Joseph,Mel Welles,Dick Miller,Myrtle Vail,Karyn Kupcinet
Suddenly,1954,6.8,6142,1400000,/title/tt0047542/,Crime,Drama,Film-Noir            ,Lewis Allen,Frank Sinatra,Sterling Hayden,James Gleason,Nancy Gates,Kim Charney,Willis Bouchey
Secret of the Incas,1954,6.1,1286,1400000,/title/tt0047464/,Adventure            ,,,Jerry Hopper,Charlton Heston,Robert Young,Nicole Maurey,Thomas Mitchell,Glenda Farrell,Michael Pate
Riding Shotgun,1954,6.5,999,1400000,/title/tt0047413/,Western            ,,,André De Toth,Randolph Scott,Wayne Morris,Joan Weldon,Joe Sawyer,James Millican,Charles Bronson
It Should Happen to You,1954,7.2,3471,1400000,/title/tt0047123/,Comedy,Romance            ,,George Cukor,Judy Holliday,Peter Lawford,Jack Lemmon,Michael OShea,Vaughn Taylor,Connie Gilchrist
The Boy from Oklahoma,1954,5.8,328,1400000,/title/tt0046804/,Western            ,,,Michael Curtiz,Will Rogers Jr.,Nancy Olson,Lon Chaney Jr.,Anthony Caruso,Wallace Ford,Clem Bevans
Beachhead,1954,5.8,922,1400000,/title/tt0046757/,Drama,War            ,,Stuart Heisler,Tony Curtis,Frank Lovejoy,Mary Murphy,Eduard Franz,Skip Homeier,John Doucette
War Arrow,1953,5.9,722,1400000,/title/tt0046532/,Romance,War,Western            ,George Sherman,Maureen OHara,Jeff Chandler,John McIntire,Suzan Ball,Noah Beery Jr.,Charles Drake
Arch of Triumph,1948,6.4,1394,1400000,/title/tt0040109/,Drama,Romance,War            ,Lewis Milestone,Ingrid Bergman,Charles Boyer,Charles Laughton,Louis Calhern,Ruth Warrick,Roman Bohnen
China Girl,1942,6.3,469,1400000,/title/tt0034593/,Drama,War            ,,Henry Hathaway,Gene Tierney,George Montgomery,Lynn Bari,Victor McLaglen,Alan Baxter,Sig Ruman
The Son of Kong,1933,5.7,4169,1342880,/title/tt0024593/,Adventure,Comedy,Fantasy            ,Ernest B. Schoedsack,Robert Armstrong,Helen Mack,Frank Reicher,John Marston,Victor Wong,Ed Brady
Tanganyika,1954,6,174,1300000,/title/tt0047556/,Action,Adventure,Drama            ,André De Toth,Van Heflin,Ruth Roman,Howard Duff,Jeff Morrow,Joe Comadore,Noreen Corcoran
Rhapsody,1954,6.2,948,1300000,/title/tt0047408/,Drama,Musical,Romance            ,Charles Vidor,Elizabeth Taylor,Vittorio Gassman,John Ericson,Louis Calhern,Michael Chekhov,Barbara Bates
Red Garters,1954,6,332,1300000,/title/tt0047400/,Action,Music,Romance            ,George Marshall,Rosemary Clooney,Jack Carson,Guy Mitchell,Pat Crowley,Gene Barry,Cass Daley
Jubilee Trail,1954,5.9,183,1300000,/title/tt0047137/,Western            ,,,Joseph Kane,Vera Ralston,Joan Leslie,Forrest Tucker,John Russell,Ray Middleton,Pat OBrien
Flame and the Flesh,1954,5.7,103,1300000,/title/tt0046982/,Drama            ,,,Richard Brooks,Lana Turner,Pier Angeli,Carlos Thompson,Bonar Colleano,Charles Goldner,Peter Illing
Creature from the Black Lagoon,1954,7,27216,1300000,/title/tt0046876/,Horror,Sci-Fi            ,,Jack Arnold,Richard Carlson,Julie Adams,Richard Denning,Antonio Moreno,Nestor Paiva,Whit Bissell
Crossfire,1947,7.3,7439,1300000,/title/tt0039286/,Crime,Drama,Film-Noir            ,Edward Dmytryk,Robert Young,Robert Mitchum,Robert Ryan,Gloria Grahame,Paul Kelly,Sam Levene
Commandos Strike at Dawn,1942,6.7,733,1300000,/title/tt0035746/,Drama,History,War            ,John Farrow,Paul Muni,Anna Lee,Lillian Gish,Cedric Hardwicke,Ray Collins,Robert Coote
Yankee Pasha,1954,6.5,196,1250000,/title/tt0047684/,Adventure,Romance            ,,Joseph Pevney,Jeff Chandler,Rhonda Fleming,Mamie Van Doren,Lee J. Cobb,Hal March,Rex Reason
The Farmer Takes a Wife,1953,5.4,153,1220000,/title/tt0045752/,Comedy,Musical,Romance            ,Henry Levin,Betty Grable,Dale Robertson,Thelma Ritter,John Carroll,Eddie Foy Jr.,Charlotte Austin
"Invasion, U.S.A.",1952,3.2,1281,1200000,/title/tt0044750/,Drama,Sci-Fi,War            ,Alfred E. Green,Gerald Mohr,Peggie Castle,Dan OHerlihy,Robert Bice,Tom Kennedy,Wade Crosby
Ninotchka,1939,7.9,19303,1187000,/title/tt0031725/,Comedy,Romance            ,,Ernst Lubitsch,Greta Garbo,Melvyn Douglas,Ina Claire,Bela Lugosi,Sig Ruman,Felix Bressart
The Painted Veil,1934,6.6,1342,1172840,/title/tt0025617/,Drama,Romance            ,,Richard Boleslawski,Greta Garbo,Herbert Marshall,George Brent,Warner Oland,Jean Hersholt,Bodil Rosing
The Milky Way,1936,6.6,1536,1170000,/title/tt0027969/,Comedy,Romance,Sport            ,Leo McCarey,Harold Lloyd,Adolphe Menjou,Verree Teasdale,Helen Mack,William Gargan,George Barbier
Camille,1936,7.4,7443,1154000,/title/tt0028683/,Drama,Romance            ,,George Cukor,Greta Garbo,Robert Taylor,Lionel Barrymore,Elizabeth Allan,Jessie Ralph,Henry Daniell
Appointment in Honduras,1953,5.7,511,1150000,/title/tt0045512/,Adventure,Crime,Thriller            ,Jacques Tourneur,Glenn Ford,Ann Sheridan,Zachary Scott,Rodolfo Acosta,Jack Elam,Ric Roman
Love on the Run,1936,6,1020,1140000,/title/tt0027914/,Comedy,Fantasy,Romance            ,W.S. Van Dyke,Joan Crawford,Clark Gable,Franchot Tone,Reginald Owen,Mona Barrie,Ivan Lebedeff
"Goodbye, My Fancy",1951,5.9,721,1130000,/title/tt0043595/,Comedy,Romance            ,,Vincent Sherman,Joan Crawford,Robert Young,Frank Lovejoy,Eve Arden,Janice Rule,Lurene Tuttle
The Story of Vernon and Irene Castle,1939,6.9,2320,1120000,/title/tt0031983/,Biography,Drama,Musical            ,H.C. Potter,Fred Astaire,Ginger Rogers,Edna May Oliver,Walter Brennan,Lew Fields,Etienne Girardot
No More Ladies,1935,6,722,1117000,/title/tt0026787/,Comedy,Romance            ,,Edward H. Griffith,Joan Crawford,Robert Montgomery,Charles Ruggles,Franchot Tone,Edna May Oliver,Gail Patrick
Viva Villa!,1934,6.4,1188,1109000,/title/tt0025948/,Action,Biography,Romance            ,Jack Conway,Wallace Beery,Leo Carrillo,Fay Wray,Donald Cook,Stuart Erwin,Henry B. Walthall
Tarantula,1955,6.5,8824,1100000,/title/tt0048696/,Horror,Sci-Fi            ,,Jack Arnold,John Agar,Mara Corday,Leo G. Carroll,Nestor Paiva,Ross Elliott,Edwin Rand
The Return of the Vampire,1943,6.2,2045,1090000,/title/tt0037219/,Drama,Horror            ,,Lew Landers,Bela Lugosi,Frieda Inescort,Nina Foch,Roland Varno,Miles Mander,Matt Willis
Jitterbugs,1943,6.5,1018,1054000,/title/tt0036055/,Comedy,Musical            ,,Malcolm St. Clair,Stan Laurel,Oliver Hardy,Vivian Blaine,Robert Bailey,Douglas Fowley,Noel Madison
Casablanca,1942,8.5,528707,1024560,/title/tt0034583/,Drama,Romance,War            ,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet
Anna Christie,1930,6.6,2874,1013000,/title/tt0020641/,Drama,Romance            ,,Clarence Brown,Greta Garbo,Charles Bickford,George F. Marion,Marie Dressler,James T. Mack,Lee Phelps
The Black Swan,1942,6.8,4051,1012600,/title/tt0034522/,Action,Adventure,Drama            ,Henry King,Tyrone Power,Maureen OHara,Laird Cregar,Thomas Mitchell,George Sanders,Anthony Quinn
The Killer Shrews,1959,4.1,4546,1000000,/title/tt0052969/,Horror,Sci-Fi            ,,Ray Kellogg,James Best,Ingrid Goude,Ken Curtis,Gordon McLendon,Baruch Lumet,Judge Henry Dupree
The Delinquents,1957,5.7,523,1000000,/title/tt0050302/,Drama            ,,,Robert Altman,Tom Laughlin,Peter Miller,Richard Bakalyan,Rosemary Howard,Helen Hawley,Leonard Belove
Teenage Thunder,1957,5.5,52,1000000,/title/tt0048902/,Drama            ,,,Paul Helmick,Chuck Courtney,Melinda Byron,Robert Fuller,Tyler McVey,Paul Bryar,Helene Heigh
Son of Sinbad,1955,5.6,475,1000000,/title/tt0048642/,Action,Adventure,Fantasy            ,Ted Tetzlaff,Dale Robertson,Sally Forrest,Lili St. Cyr,Vincent Price,Mari Blanchard,Leon Askin
Robot Monster,1953,3,4626,1000000,/title/tt0046248/,Comedy,Horror,Sci-Fi            ,Phil Tucker,George Nader,Claudia Barrett,Selena Royle,John Mylong,Gregory Moffett,Pamela Paulson
Limelight,1952,8.1,18540,1000000,/title/tt0044837/,Drama,Music,Romance            ,Charles Chaplin,Charles Chaplin,Claire Bloom,Nigel Bruce,Buster Keaton,Sydney Chaplin,Norman Lloyd
Drums Along the Mohawk,1939,7.1,5706,1000000,/title/tt0031252/,Drama,History,Romance            ,John Ford,Claudette Colbert,Henry Fonda,Edna May Oliver,Eddie Collins,John Carradine,Dorris Bowdon
Tumbling Tumbleweeds,1935,6.4,122,1000000,/title/tt0027139/,Music,Western            ,,Joseph Kane,Gene Autry,Smiley Burnette,Lucile Browne,George Gabby Hayes,Norma Taylor,Edward Hearn
The Miracle Rider,1935,6.8,132,1000000,/title/tt0026720/,Action,Adventure,Drama            ,B. Reeves Eason,Tom Mix,Joan Gale,Charles Middleton,Robert Frazer,Niles Welch,Jason Robards Sr.
Peg o' My Heart,1933,6.3,1367,1000000,/title/tt0024433/,Drama,Romance            ,,Robert Z. Leonard,Marion Davies,Onslow Stevens,J. Farrell MacDonald,Juliette Compton,Irene Browne,Tyrell Davis
Raffles,1930,6.4,789,1000000,/title/tt0021281/,Adventure,Crime,Drama            ,George Fitzmaurice,Ronald Colman,Kay Francis,David Torrence,Frederick Kerr,Bramwell Fletcher,John Rogers
The Indians Are Coming,1930,5.7,33,1000000,/title/tt0020999/,Action,Adventure,Romance            ,Henry MacRae,Tim McCoy,Allene Ray,Edmund Cobb,Francis Ford,Wilbur McGaugh,Bud Osborne
The Cat and the Fiddle,1934,6.4,371,991900,/title/tt0024960/,Comedy,Musical,Romance            ,William K. Howard,Ramon Novarro,Jeanette MacDonald,Frank Morgan,Charles Butterworth,Jean Hersholt,Vivienne Segal
Alexander Hamilton,1931,6,231,987540,/title/tt0021595/,Biography,Drama,History            ,John G. Adolfi,George Arliss,Doris Kenyon,Dudley Digges,June Collyer,Montagu Love,Ralf Harolde
Chikyû Bôeigun,1957,6.2,1415,975000,/title/tt0050251/,Action,Family,Sci-Fi            ,Ishirô Honda,Kenji Sahara,Yumi Shirakawa,Momoko Kôchi,Akihiko Hirata,Takashi Shimura,Susumu Fujita
The Most Dangerous Game,1932,7.1,10853,965740,/title/tt0023238/,Action,Adventure,Horror            ,Irving Pichel,Joel McCrea,Fay Wray,Robert Armstrong,Leslie Banks,Noble Johnson,Steve Clemente
Going Hollywood,1933,6.1,1703,962000,/title/tt0024067/,Musical,Romance            ,,Raoul Walsh,Marion Davies,Bing Crosby,Fifi DOrsay,Stuart Erwin,Ned Sparks,Patsy Kelly
Fearless Fagan,1952,5.9,261,950000,/title/tt0044608/,Comedy            ,,,Stanley Donen,Janet Leigh,Carleton Carpenter,Keenan Wynn,Richard Anderson,Ellen Corby,Barbara Ruick
Mata Hari,1931,6.6,3346,931000,/title/tt0023196/,Crime,Drama,Romance            ,George Fitzmaurice,Greta Garbo,Ramon Novarro,Lionel Barrymore,Lewis Stone,C. Henry Gordon,Karen Morley
Animal Crackers,1930,7.5,13702,910015,/title/tt0020640/,Comedy,Musical            ,,Victor Heerman,The Marx Brothers,Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Lillian Roth
The Beast of the City,1932,6.7,1178,889440,/title/tt0022660/,Crime,Drama,Film-Noir            ,Charles Brabin,Walter Huston,Jean Harlow,Wallace Ford,Jean Hersholt,Dorothy Peterson,Tully Marshall
Two-Faced Woman,1941,6.3,1620,875000,/title/tt0034328/,Comedy,Romance            ,,George Cukor,Greta Garbo,Melvyn Douglas,Constance Bennett,Roland Young,Robert Sterling,Ruth Gordon
Anna Karenina,1935,7,4992,865000,/title/tt0026071/,Drama,Romance            ,,Clarence Brown,Greta Garbo,Fredric March,Freddie Bartholomew,Maureen OSullivan,May Robson,Basil Rathbone
Once Upon a Honeymoon,1942,6.5,2636,861100,/title/tt0035151/,Adventure,Comedy,Drama            ,Leo McCarey,Cary Grant,Ginger Rogers,Walter Slezak,Albert Dekker,Albert Bassermann,Ferike Boros
Susan and God,1940,5.9,1117,817000,/title/tt0033117/,Comedy,Drama            ,,George Cukor,Joan Crawford,Fredric March,Ruth Hussey,John Carroll,Rita Hayworth,Nigel Bruce
Susan Lenox (Her Fall and Rise),1931,6.4,1102,806000,/title/tt0022453/,Drama,Romance            ,,Robert Z. Leonard,Greta Garbo,Clark Gable,Jean Hersholt,John Miljan,Alan Hale,Hale Hamilton
Professor Beware,1938,6.4,165,796000,/title/tt0030631/,Comedy            ,,,Elliott Nugent,Harold Lloyd,Phyllis Welch,Raymond Walburn,Lionel Stander,William Frawley,Thurston Hall
Queen Christina,1933,7.6,7251,767000,/title/tt0024481/,Biography,Drama,History            ,Rouben Mamoulian,Greta Garbo,John Gilbert,Ian Keith,Lewis Stone,Elizabeth Young,C. Aubrey Smith
Wuthering Heights,1939,7.6,16683,762484,/title/tt0032145/,Drama,Romance            ,,William Wyler,Merle Oberon,Laurence Olivier,David Niven,Flora Robson,Donald Crisp,Geraldine Fitzgerald
Le notti di Cabiria,1957,8.1,43572,752045,/title/tt0050783/,Drama            ,,,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,Aldo Silvani,Ennio Girolami
Romance,1930,5.9,717,733000,/title/tt0021310/,Drama,Romance            ,,Clarence Brown,Greta Garbo,Lewis Stone,Gavin Gordon,Elliott Nugent,Florence Lake,Clara Blandick
Conquest,1937,6.6,1360,730000,/title/tt0028739/,Drama,History,Romance            ,Clarence Brown,Greta Garbo,Charles Boyer,Reginald Owen,Alan Marshal,Henry Stephenson,Leif Erickson
Inspiration,1931,6.3,478,725000,/title/tt0022001/,Drama,Romance            ,,Clarence Brown,Greta Garbo,Robert Montgomery,Lewis Stone,Marjorie Rambeau,Judith Vosselli,Beryl Mercer
As You Desire Me,1932,6.4,593,705000,/title/tt0022641/,Drama,Romance            ,,George Fitzmaurice,Greta Garbo,Melvyn Douglas,Erich von Stroheim,Owen Moore,Hedda Hopper,Rafaela Ottiano
Secrets,1933,6.5,599,697432,/title/tt0024539/,Drama,Western            ,,Frank Borzage,Mary Pickford,Leslie Howard,C. Aubrey Smith,Blanche Friderici,Doris Lloyd,Herbert Evans
