movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
The Cat's-Paw,1934,6.7,1161,693000,/title/tt0024961/,Comedy            ,,,Sam Taylor,Harold Lloyd,Una Merkel,George Barbier,Nat Pendleton,Grace Bradley,Alan Dinehart
The Bashful Bachelor,1942,5.6,121,675000,/title/tt0033379/,Comedy            ,,,Malcolm St. Clair,Chester Lauck,Norris Goff,Zasu Pitts,Grady Sutton,Oscar OShea,Louise Currie
You Were Never Lovelier,1942,7.2,3325,672900,/title/tt0035583/,Comedy,Musical,Romance            ,William A. Seiter,Fred Astaire,Rita Hayworth,Adolphe Menjou,Isobel Elsom,Leslie Brooks,Adele Mara
George Washington Slept Here,1942,7,1533,661500,/title/tt0034780/,Comedy            ,,,William Keighley,Jack Benny,Ann Sheridan,Charles Coburn,Percy Kilbride,Hattie McDaniel,William Tracy
The Night of the Hunter,1955,8,83000,654000,/title/tt0048424/,Crime,Drama,Film-Noir            ,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,Evelyn Varden,Peter Graves
Star Spangled Rhythm,1942,6.6,525,602500,/title/tt0035379/,Comedy,Musical            ,,George Marshall,Bing Crosby,Bob Hope,Fred MacMurray,Franchot Tone,Ray Milland,Victor Moore
Stand by for Action,1942,6.6,531,553800,/title/tt0036386/,Action,Drama,War            ,Robert Z. Leonard,Robert Taylor,Charles Laughton,Brian Donlevy,Walter Brennan,Marilyn Maxwell,Henry ONeill
Pather Panchali,1955,8.6,24146,536364,/title/tt0048473/,Drama            ,,,Satyajit Ray,Kanu Bannerjee,Karuna Bannerjee,Chunibala Devi,Uma Das Gupta,Subir Banerjee,Runki Banerjee
The African Queen,1951,7.7,72291,536118,/title/tt0043265/,Adventure,Drama,Romance            ,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,Theodore Bikel,Walter Gotell
Little Big Horn,1951,6.5,379,521260,/title/tt0043747/,Western            ,,,Charles Marquis Warren,Lloyd Bridges,John Ireland,Marie Windsor,Reed Hadley,Jim Davis,Wally Cassell
The Black Cat,1934,7,9786,514480,/title/tt0024894/,Adventure,Crime,Horror            ,Edgar G. Ulmer,Boris Karloff,Bela Lugosi,David Manners,Julie Bishop,Egon Brecher,Harry Cording
Radio City Revels,1938,6.3,99,510000,/title/tt0030651/,Comedy,Musical,Romance            ,Benjamin Stoloff,Bob Burns,Jack Oakie,Kenny Baker,Ann Miller,Victor Moore,Milton Berle
Sora no daikaijû Radon,1956,6.3,4699,500000,/title/tt0049782/,Adventure,Drama,Horror            ,Ishirô Honda,Kenji Sahara,Yumi Shirakawa,Akihiko Hirata,Akio Kobori,Yasuko Nakada,Minosuke Yamada
Westward Ho,1935,5.7,469,500000,/title/tt0027200/,Action,Drama,History            ,Robert N. Bradbury,John Wayne,Sheila Bromley,Frank McGlynn Jr.,Jim Farley,Jack Curtis,Bradley Metcalfe
Madam Satan,1930,6.5,876,500000,/title/tt0021106/,Comedy,Drama,Musical            ,Cecil B. DeMille,Kay Johnson,Reginald Denny,Lillian Roth,Roland Young,Elsa Peterson,Jack King
Attack of the 50 Foot Woman,1958,5.1,5005,480000,/title/tt0051380/,Horror,Sci-Fi            ,,Nathan Juran,Allison Hayes,William Hudson,Yvette Vickers,Roy Gordon,George Douglas,Ken Terrell
In Which We Serve,1942,7.2,5246,450000,/title/tt0034891/,Drama,War            ,,Noël Coward,Noël Coward,John Mills,Bernard Miles,Celia Johnson,Kay Walsh,Joyce Carey
The Third Man,1949,8.1,160839,449191,/title/tt0041959/,Film-Noir,Mystery,Thriller            ,Carol Reed,Joseph Cotten,Alida Valli,Orson Welles,Trevor Howard,Bernard Lee,Paul Hörbiger
The Palm Beach Story,1942,7.5,10984,438200,/title/tt0035169/,Comedy,Romance            ,,Preston Sturges,Claudette Colbert,Joel McCrea,Mary Astor,Rudy Vallee,Sig Arno,Robert Warwick
Mourning Becomes Electra,1947,6.5,1014,435000,/title/tt0039636/,Drama            ,,,Dudley Nichols,Rosalind Russell,Michael Redgrave,Raymond Massey,Katina Paxinou,Leo Genn,Kirk Douglas
Kiki,1931,5,304,426513,/title/tt0022026/,Musical            ,,,Sam Taylor,Mary Pickford,Reginald Denny,Joseph Cawthorn,Margaret Livingston,Phil Tead,Fred Walton
Tip on a Dead Jockey,1957,6.2,293,400000,/title/tt0051088/,Crime,Drama,Film-Noir            ,Richard Thorpe,Robert Taylor,Dorothy Malone,Gia Scala,Martin Gabel,Marcel Dalio,Jack Lord
Four Wives,1939,6.5,566,355200,/title/tt0031336/,Drama,Romance            ,,Michael Curtiz,Priscilla Lane,Rosemary Lane,Lola Lane,Gale Page,Claude Rains,Jeffrey Lynn
Prisoner of Japan,1942,5,61,350000,/title/tt0035217/,Drama,War            ,,Arthur Ripley,Alan Baxter,Gertrude Michael,Ernst Deutsch,Corinna Mura,Tom Seidel,Billy Moya
Destry Rides Again,1939,7.7,10448,345000,/title/tt0031225/,Comedy,Western            ,,George Marshall,Marlene Dietrich,James Stewart,Mischa Auer,Charles Winninger,Brian Donlevy,Allen Jenkins
The Fallen Idol,1948,7.7,7952,341121,/title/tt0040338/,Drama,Mystery,Thriller            ,Carol Reed,Ralph Richardson,Michèle Morgan,Sonia Dresdel,Bobby Henrey,Denis ODea,Jack Hawkins
À bout de souffle,1960,7.8,74436,336705,/title/tt0053472/,Crime,Drama            ,,Jean-Luc Godard,Jean Seberg,Jean-Paul Belmondo,Daniel Boulanger,Henri-Jacques Huet,Roger Hanin,Van Doude
Ladri di biciclette,1948,8.3,149216,332930,/title/tt0040522/,Drama            ,,,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,Gino Saltamerenda,Giulio Chiari
Monsieur Verdoux,1947,7.9,16145,325000,/title/tt0039631/,Comedy,Crime,Drama            ,Charles Chaplin,Charles Chaplin,Mady Correll,Allison Roddan,Robert Lewis,Audrey Betz,Martha Raye
I Married a Witch,1942,7.1,7157,312700,/title/tt0034881/,Comedy,Fantasy,Romance            ,René Clair,Fredric March,Veronica Lake,Robert Benchley,Susan Hayward,Cecil Kellaway,Elizabeth Patterson
The Great Victor Herbert,1939,6.4,65,301700,/title/tt0031393/,Biography,Music,Musical            ,Andrew L. Stone,Allan Jones,Mary Martin,Walter Connolly,Lee Bowman,Judith Barrett,Susanna Foster
La belle et la bête,1946,7.9,24496,298718,/title/tt0038348/,Drama,Fantasy,Romance            ,Jean Cocteau,Jean Marais,Josette Day,Mila Parély,Nane Germon,Michel Auclair,Raoul Marco
His Girl Friday,1940,7.9,54312,296000,/title/tt0032599/,Comedy,Drama,Romance            ,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,Porter Hall,Ernest Truex
The Great Dictator,1940,8.4,206062,288475,/title/tt0032553/,Comedy,Drama,War            ,Charles Chaplin,Charles Chaplin,Jack Oakie,Reginald Gardiner,Henry Daniell,Billy Gilbert,Grace Hayle
Swanee River,1939,6.5,137,285100,/title/tt0031996/,Biography,Drama,Musical            ,Sidney Lanfield,Don Ameche,Andrea Leeds,Al Jolson,Felix Bressart,Chick Chandler,Russell Hicks
Annapolis Salute,1937,5.8,74,272000,/title/tt0028578/,Drama,Romance            ,,Christy Cabanne,James Ellison,Marsha Hunt,Harry Carey,Van Heflin,Ann Hovey,Arthur Lake
Shichinin no samurai,1954,8.6,320137,269061,/title/tt0047478/,Action,Adventure,Drama            ,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara,Daisuke Katô
The Thief of Bagdad,1940,7.4,12098,268948,/title/tt0033152/,Adventure,Family,Fantasy            ,Ludwig Berger,Conrad Veidt,Sabu,June Duprez,John Justin,Rex Ingram,Miles Malleson
Balalaika,1939,6.3,291,254200,/title/tt0031074/,Musical,Romance            ,,Reinhold Schünzel,Nelson Eddy,Ilona Massey,Charles Ruggles,Frank Morgan,Lionel Atwill,C. Aubrey Smith
Judge Hardy and Son,1939,6.9,373,251300,/title/tt0031517/,Comedy            ,,,George B. Seitz,Mickey Rooney,Lewis Stone,Fay Holden,Cecilia Parker,Ann Rutherford,Sara Haden
The Fast and the Furious,1954,5.3,1194,250000,/title/tt0046969/,Crime,Drama,Mystery            ,John Ireland,John Ireland,Dorothy Malone,Bruce Carlisle,Iris Adrian,Marshall Bradford,Bruno VeSota
Mayerling,1936,7,698,240000,/title/tt0027951/,Drama,Romance            ,,Anatole Litvak,Charles Boyer,Danielle Darrieux,Marthe Régnier,Yolande Laffon,Suzy Prim,Gina Manès
Red River Valley,1936,5.6,183,225000,/title/tt0028163/,Western            ,,,B. Reeves Eason,Gene Autry,Smiley Burnette,Frances Grant,Boothe Howard,Jack Kennedy,Champion
Brighton Rock,1948,7.4,5334,223887,/title/tt0039220/,Crime,Drama            ,,John Boulting,Richard Attenborough,Hermione Baddeley,William Hartnell,Harcourt Williams,Wylie Watson,Nigel Stock
Whistling in Dixie,1942,6.7,588,217300,/title/tt0035552/,Comedy,Mystery,Crime            ,S. Sylvan Simon,Red Skelton,Ann Rutherford,George Bancroft,Guy Kibbee,Diana Lewis,Peter Whitney
The Shop Around the Corner,1940,8.1,28891,203300,/title/tt0033045/,Comedy,Drama,Romance            ,Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,Sara Haden,Felix Bressart
Life Begins at Eight-Thirty,1942,6.1,189,195600,/title/tt0034976/,Comedy,Drama,Romance            ,Irving Pichel,Monty Woolley,Ida Lupino,Cornel Wilde,Sara Allgood,Melville Cooper,J. Edward Bromberg
Eternally Yours,1939,5.8,653,184500,/title/tt0031282/,Comedy,Drama,Romance            ,Tay Garnett,Loretta Young,David Niven,Hugh Herbert,Billie Burke,C. Aubrey Smith,Raymond Walburn
Let's Try Again,1934,4.9,123,183000,/title/tt0025384/,Drama            ,,,Worthington Miner,Diana Wynyard,Clive Brook,Helen Vinson,Irene Hervey,Theodore Newton,Arthur Hoyt
La Grande Illusion,1937,8.1,34217,172885,/title/tt0028950/,Drama,War            ,,Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,Julien Carette,Georges Péclet
Aparajito,1956,8.4,11945,170215,/title/tt0048956/,Drama            ,,,Satyajit Ray,Kamala Adhikari,Lalchand Banerjee,Kali Bannerjee,Kanu Bannerjee,Karuna Bannerjee,Panchanan Bhattacharya
Remember the Night,1940,7.6,4909,167800,/title/tt0032981/,Comedy,Drama,Romance            ,Mitchell Leisen,Barbara Stanwyck,Fred MacMurray,Beulah Bondi,Elizabeth Patterson,Willard Robertson,Sterling Holloway
Modern Times,1936,8.5,221625,163245,/title/tt0027977/,Comedy,Drama,Family            ,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin,Hank Mann
Mughal-E-Azam,1960,8.2,7405,161434,/title/tt0054098/,Drama,Romance,War            ,K. Asif,Prithviraj Kapoor,Madhubala,Dilip Kumar,Durga Khote,Nigar Sultana,Ajit
Pépé le Moko,1937,7.8,6677,153936,/title/tt0029453/,Crime,Drama,Romance            ,Julien Duvivier,Jean Gabin,Gabriel Gabrio,Saturnin Fabre,Fernand Charpin,Lucas Gridoux,Gilbert Gil
No Greater Sin,1941,5.2,37,150000,/title/tt0033957/,Drama            ,,,William Nigh,Leon Ames,Luana Walters,Pamela Blake,Malcolm Bud McTaggart,Guy Usher,Bodil Rosing
Touchez pas au grisbi,1954,7.8,6918,131548,/title/tt0046451/,Crime,Drama            ,,Jacques Becker,Jean Gabin,René Dary,Dora Doll,Vittorio Sanipoli,Marilyn Buferd,Gaby Basset
Brother Rat and a Baby,1940,5.4,254,121000,/title/tt0032286/,Comedy            ,,,Ray Enright,Priscilla Lane,Wayne Morris,Jane Bryan,Eddie Albert,Jane Wyman,Ronald Reagan
Monster from the Ocean Floor,1954,3.6,505,117000,/title/tt0047244/,Horror,Sci-Fi            ,,Wyott Ordung,Anne Kimbell,Stuart Wade,Dick Pinner,Wyott Ordung,Inez Palange,Jonathan Haze
Invisible Stripes,1939,6.8,1473,114000,/title/tt0032636/,Action,Crime,Drama            ,Lloyd Bacon,George Raft,Jane Bryan,William Holden,Humphrey Bogart,Flora Robson,Paul Kelly
Ascenseur pour l'échafaud,1958,8,22730,109257,/title/tt0051378/,Crime,Drama,Thriller            ,Louis Malle,Jeanne Moreau,Maurice Ronet,Georges Poujouly,Yori Bertin,Jean Wall,Elga Andersen
Lola Montès,1955,7.3,4964,107264,/title/tt0048308/,Biography,Drama,Romance            ,Max Ophüls,Martine Carol,Peter Ustinov,Anton Walbrook,Henri Guisol,Lise Delamare,Paulette Dubost
The Shaggy Dog,1959,6.5,4524,100935,/title/tt0053271/,Comedy,Family,Fantasy            ,Charles Barton,Fred MacMurray,Jean Hagen,Tommy Kirk,Annette Funicello,Tim Considine,Kevin Corcoran
I vitelloni,1953,7.9,16572,97944,/title/tt0046521/,Comedy,Drama            ,,Federico Fellini,Franco Interlenghi,Alberto Sordi,Franco Fabrizi,Leopoldo Trieste,Riccardo Fellini,Leonora Ruffo
Rashomon,1950,8.2,155085,96568,/title/tt0042876/,Crime,Drama,Mystery            ,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,Minoru Chiaki,Kichijirô Ueda
On Dress Parade,1939,6.2,285,95100,/title/tt0031012/,Drama            ,,,William Clemens,Billy Halop,Bobby Jordan,Huntz Hall,Gabriel Dell,Leo Gorcey,Bernard Punsly
Jalsaghar,1958,8,5284,94886,/title/tt0051792/,Drama,Music            ,,Satyajit Ray,Chhabi Biswas,Sardar Akhtar,Gangapada Basu,Bismillah Khan,Salamat Ali Khan,Waheed Khan
Classe tous risques,1960,7.5,3277,94552,/title/tt0052698/,Crime,Drama,Romance            ,Claude Sautet,Lino Ventura,Sandra Milo,Jean-Paul Belmondo,Marcel Dalio,Michel Ardan,Simone France
Devi,1960,7.8,1917,93215,/title/tt0053765/,Drama            ,,,Satyajit Ray,Sharmila Tagore,Soumitra Chatterjee,Chhabi Biswas,Karuna Bannerjee,Purnendu Mukherjee,Arpan Chowdhury
The Tales of Hoffmann,1951,7.2,3011,90365,/title/tt0044103/,Fantasy,Music,Musical            ,Michael Powell,Moira Shearer,Ludmilla Tchérina,Ann Ayars,Pamela Brown,Léonide Massine,Robert Helpmann
Hiroshima mon amour,1959,7.9,29009,88300,/title/tt0052893/,Drama,Romance            ,,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,Bernard Fresson,Moira Lister
Raffles,1939,6.3,833,86600,/title/tt0032963/,Adventure,Comedy,Crime            ,Sam Wood,David Niven,Olivia de Havilland,May Whitty,Dudley Digges,Douglas Walton,E.E. Clive
Peeping Tom,1960,7.7,31912,83957,/title/tt0054167/,Drama,Horror,Thriller            ,Michael Powell,Karlheinz Böhm,Moira Shearer,Anna Massey,Maxine Audley,Brenda Bruce,Miles Malleson
Green Fields,1937,6.6,85,80000,/title/tt0028957/,Comedy,Romance            ,,Jacob Ben-Ami,Michael Gorrin,Helen Beverley,Isidore Cashier,Anna Appel,Max Vodnoy,Lea Noemi
Der blaue Engel,1930,7.7,13910,77982,/title/tt0020697/,Drama,Music            ,,Josef von Sternberg,Emil Jannings,Marlene Dietrich,Kurt Gerron,Rosa Valetti,Hans Albers,Reinhold Bernt
Umberto D.,1952,8.2,23418,74308,/title/tt0045274/,Drama            ,,,Vittorio De Sica,Carlo Battisti,Maria Pia Casilio,Lina Gennari,Ileana Simova,Elena Rea,Memmo Carotenuto
Date with Death,1959,6.6,50,60000,/title/tt0124336/,Crime            ,,,Harold Daniels,Gerald Mohr,Liz Renay,Harry Lauter,Stephanie Farnay,Ed Erwin,Robert Clarke
Du rififi chez les hommes,1955,8.1,30173,57226,/title/tt0048021/,Crime,Drama,Thriller            ,Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,Pierre Grasset,Robert Hossein
Ikiru,1952,8.3,70128,55240,/title/tt0044741/,Drama            ,,,Akira Kurosawa,Takashi Shimura,Shinichi Himori,Haruo Tanaka,Minoru Chiaki,Miki Odagiri,Bokuzen Hidari
The Grapes of Wrath,1940,8,86234,55000,/title/tt0032551/,Drama,History            ,,John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,Dorris Bowdon,Russell Simpson
Les yeux sans visage,1960,7.7,28177,52709,/title/tt0053459/,Drama,Horror            ,,Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault,Béatrice Altariba,Charles Blavette
He Married His Wife,1940,6,190,50600,/title/tt0032575/,Comedy            ,,,Roy Del Ruth,Joel McCrea,Nancy Kelly,Roland Young,Mary Boland,Cesar Romero,Mary Healy
Le amiche,1955,7.2,2673,50005,/title/tt0047821/,Drama,Romance            ,,Michelangelo Antonioni,Eleonora Rossi Drago,Gabriele Ferzetti,Franco Fabrizi,Valentina Cortese,Yvonne Furneaux,Madeleine Fischer
Anatahan,1953,7.1,1042,49899,/title/tt0046712/,Drama,History,War            ,Josef von Sternberg,Akemi Negishi,Tadashi Suganuma,Kisaburo Sawamura,Shôji Nakayama,Jun Fujikawa,Hiroshi Kondô
Mädchen für die Mambo-Bar,1959,6.7,24,43500,/title/tt0062615/,Crime,Drama            ,,Wolfgang Glück,Kai Fischer,Gerlinde Locker,Sieghardt Rupp,Jimmy Makulis,Rolf Kutschera,Edith Elmay
A Child Is Born,1939,6,172,40500,/title/tt0032333/,Drama            ,,,Lloyd Bacon,Geraldine Fitzgerald,Jeffrey Lynn,Gladys George,Gale Page,Spring Byington,Johnnie Davis
Panique,1946,8,1623,40061,/title/tt0038824/,Crime,Drama            ,,Julien Duvivier,Viviane Romance,Michel Simon,Max Dalban,Émile Drain,Guy Favières,Louis Florencie
Private Detective,1939,6,227,40000,/title/tt0031825/,Action,Adventure,Comedy            ,Noel M. Smith,Jane Wyman,Dick Foran,Gloria Dickson,Maxie Rosenbloom,John Ridgely,Morgan Conway
Le crime de Monsieur Lange,1936,7.3,3000,36438,/title/tt0027478/,Comedy,Crime,Drama            ,Jean Renoir,René Lefèvre,Florelle,Jules Berry,Marcel Lévesque,Odette Talazac,Henri Guisol
Le corbeau,1943,7.9,9149,34909,/title/tt0035753/,Crime,Drama,Mystery            ,Henri-Georges Clouzot,Pierre Fresnay,Ginette Leclerc,Micheline Francey,Héléna Manson,Jeanne Fusier-Gir,Sylvie
Le jour se lève,1939,7.8,6855,34570,/title/tt0031514/,Crime,Drama,Romance            ,Marcel Carné,Jean Gabin,Jules Berry,Arletty,Mady Berry,René Génin,Arthur Devère
Le trou,1960,8.5,15786,33187,/title/tt0054407/,Crime,Drama,Thriller            ,Jacques Becker,Michel Constantin,Jean Keraudy,Philippe Leroy,Raymond Meunier,Marc Michel,Jean-Paul Coquelin
L'âge d'or,1930,7.3,13003,32712,/title/tt0021577/,Comedy,Drama            ,,Luis Buñuel,Gaston Modot,Lya Lys,Caridad de Laberdesque,Max Ernst,Artigas,Lionel Salem
Risate di gioia,1960,7.3,705,30791,/title/tt0054242/,Comedy,Drama            ,,Mario Monicelli,Anna Magnani,Totò,Ben Gazzara,Fred Clark,Edy Vessel,Gina Rovere
M - Eine Stadt sucht einen Mörder,1931,8.3,145725,28877,/title/tt0022100/,Crime,Mystery,Thriller            ,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,Theodor Loos,Gustaf Gründgens
Senso,1954,7.5,6270,27723,/title/tt0047469/,Drama,History,Romance            ,Luchino Visconti,Farley Granger,Alida Valli,Massimo Girotti,Heinz Moog,Rina Morelli,Christian Marquand
Little Fugitive,1953,7.5,2541,27373,/title/tt0046004/,Drama,Family            ,,Ray Ashley,Richard Brewster,Winifred Cushing,Jay Williams,Will Lee,Charlie Moss,Tommy DeCanio
Le quai des brumes,1938,7.8,8400,26765,/title/tt0030643/,Crime,Drama,Romance            ,Marcel Carné,Jean Gabin,Michel Simon,Michèle Morgan,Pierre Brasseur,Édouard Delmont,Raymond Aimos
Quai des Orfèvres,1947,7.8,5178,26516,/title/tt0039739/,Crime,Drama            ,,Henri-Georges Clouzot,Louis Jouvet,Simone Renant,Bernard Blier,Suzy Delair,Pierre Larquey,Jeanne Fusier-Gir
The Old Dark House,1932,7.1,9664,25678,/title/tt0023293/,Comedy,Horror,Thriller            ,James Whale,Boris Karloff,Melvyn Douglas,Charles Laughton,Lilian Bond,Ernest Thesiger,Eva Moore
Went the Day Well?,1942,7.5,3286,24509,/title/tt0035429/,Thriller,War            ,,Alberto Cavalcanti,Leslie Banks,C.V. France,Valerie Taylor,Marie Lohr,Harry Fowler,Norman Pierce
Fanny,1932,7.7,1540,22505,/title/tt0022877/,Comedy,Drama            ,,Marc Allégret,Raimu,Pierre Fresnay,Orane Demazis,Fernand Charpin,Auguste Mouriès,Robert Vattier
Metropolitan,1935,6.7,92,21711,/title/tt0026705/,Drama,Musical,Romance            ,Richard Boleslawski,Lawrence Tibbett,Virginia Bruce,Alice Brady,Cesar Romero,Thurston Hall,Luis Alberni
City Lights,1931,8.5,170409,19181,/title/tt0021749/,Comedy,Drama,Romance            ,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Al Ernest Garcia,Hank Mann,Charles Chaplin
La traversée de Paris,1956,7.4,3585,17824,/title/tt0049877/,Drama            ,,,Claude Autant-Lara,Jean Gabin,Bourvil,Louis de Funès,Jeannette Batti,Georgette Anys,Robert Arnoux
La legge,1959,6.8,728,17351,/title/tt0051852/,Comedy,Crime,Drama            ,Jules Dassin,Gina Lollobrigida,Pierre Brasseur,Marcello Mastroianni,Melina Mercouri,Yves Montand,Raf Mattioli
Letyat zhuravli,1957,8.3,15441,16990,/title/tt0050634/,Drama,Romance,War            ,Mikhail Kalatozov,Tatyana Samoylova,Aleksey Batalov,Vasiliy Merkurev,Aleksandr Shvorin,Svetlana Kharitonova,Konstantin Kadochnikov
Detour,1945,7.4,15648,16172,/title/tt0037638/,Crime,Drama,Film-Noir            ,Edgar G. Ulmer,Tom Neal,Ann Savage,Claudia Drake,Edmund MacDonald,Tim Ryan,Esther Howard
Apur Sansar,1959,8.5,12378,16000,/title/tt0052572/,Drama            ,,,Satyajit Ray,Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,Swapan Mukherjee,Tushar Bandyopadhyay,Gupi Banerjee
Bob le flambeur,1956,7.7,11023,15586,/title/tt0047892/,Crime,Drama,Thriller            ,Jean-Pierre Melville,Isabelle Corey,Daniel Cauchy,Roger Duchesne,Guy Decomble,André Garet,Gérard Buhr
Quand tu liras cette lettre,1953,6.6,595,15552,/title/tt0045981/,Drama            ,,,Jean-Pierre Melville,Philippe Lemaire,Juliette Gréco,Yvonne Sanson,Irene Galter,Daniel Cauchy,Robert Dalban
Dial M for Murder,1954,8.2,160875,12562,/title/tt0046912/,Crime,Thriller            ,,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson,Leo Britt
Les Parents Terribles,1948,6.9,686,11818,/title/tt0040682/,Drama            ,,,Jean Cocteau,Jean Marais,Josette Day,Yvonne de Bray,Marcel André,Gabrielle Dorziat,Jean Cocteau
Rendez-vous de juillet,1949,7.2,356,11321,/title/tt0041800/,Comedy,Drama            ,,Jacques Becker,Daniel Gélin,Brigitte Auber,Nicole Courcel,Pierre Trabaud,Maurice Ronet,Philippe Mareuil
Ugetsu monogatari,1953,8.3,21333,11197,/title/tt0046478/,Drama,Fantasy,War            ,Kenji Mizoguchi,Machiko Kyô,Mitsuko Mito,Kinuyo Tanaka,Masayuki Mori,Eitarô Ozawa,Sugisaku Aoyama
Jeux interdits,1952,8,11289,10188,/title/tt0043686/,Comedy,Drama,War            ,René Clément,Georges Poujouly,Brigitte Fossey,Amédée,Laurence Badie,Madeleine Barbulée,Suzanne Courtal
All About Eve,1950,8.2,122189,10177,/title/tt0042192/,Drama            ,,,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill,Hugh Marlowe
Olivia,1951,7,443,9563,/title/tt0042803/,Comedy,Drama            ,,Jacqueline Audry,Edwige Feuillère,Simone Simon,Marie-Claire Olivia,Yvonne de Bray,Suzanne Dehelly,Marina de Berg
Antoine et Antoinette,1947,7.3,817,9487,/title/tt0039155/,Comedy,Drama            ,,Jacques Becker,Roger Pigaut,Claire Mafféi,Noël Roquevert,Gaston Modot,Made Siamé,Pierre Trabaud
Maigret tend un piège,1958,7.2,1605,8528,/title/tt0050669/,Crime,Drama            ,,Jean Delannoy,Jean Gabin,Annie Girardot,Olivier Hussenot,Jeanne Boitel,Lucienne Bogaert,Jean Debucourt
The Man in the White Suit,1951,7.3,8977,8265,/title/tt0044876/,Comedy,Drama,Sci-Fi            ,Alexander Mackendrick,Alec Guinness,Joan Greenwood,Cecil Parker,Michael Gough,Ernest Thesiger,Howard Marion-Crawford
The Lady from Shanghai,1947,7.6,27504,7927,/title/tt0040525/,Crime,Drama,Film-Noir            ,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,Glenn Anders,Ted de Corsia,Erskine Sanford
It Always Rains on Sunday,1947,7.2,1540,7176,/title/tt0040481/,Crime,Drama            ,,Robert Hamer,Googie Withers,Edward Chapman,Susan Shaw,Patricia Plunkett,David Liney,Sydney Tafler
La grande strada azzurra,1957,6.9,573,6741,/title/tt0050454/,Drama,Romance            ,,Gillo Pontecorvo,Yves Montand,Alida Valli,Francisco Rabal,Umberto Spadaro,Peter Carsten,Federica Ranchi